T,N_2,N_4,N_8,N_16
5.0,1.855876526938296,1.8550869380930783,1.8548893203398313,1.8548399020005142
3.333333333333333,1.4164682851196693,1.4138796190177894,1.413230992204495,1.4130687440817913
2.5,1.1610195036648758,1.1549218172764575,1.153391575698569,1.1530086502120398
2.0,0.9855168649860195,0.9736418530525873,0.9706558418953246,0.9699082547774951
1.6666666666666665,0.8602341879464679,0.8397739732296507,0.8346167283643848,0.8333247606769586
1.4285714285714284,0.7707978835672462,0.7384225286859808,0.7302386347607187,0.7281869763565643
1.25,0.7087507690993762,0.6606269238542011,0.6484221240704746,0.6453599185854645
1.111111111111111,0.6687397753876202,0.6005518277821033,0.583194265275048,0.5788351477591899
1.0,0.6472856306834124,0.5542596866122192,0.5304814011702548,0.5245035651031383
0.9090909090909091,0.6421094931423212,0.5190400160635713,0.48743870053827,0.4794849934306776
0.8333333333333333,0.6517222173315237,0.4930010217961314,0.4520420138348779,0.4417200557167086
0.769230769230769,0.6751612008545064,0.4748084884320025,0.4228269721472206,0.40970929427196284
0.7142857142857141,0.7118173971761306,0.463514544210936,0.3987179460526169,0.3823421439249567
0.6666666666666665,0.7613195330858386,0.4584433522563356,0.37891392122369305,0.3587828223229733
0.625,0.8234553663658069,0.4591135754098657,0.36281113660001874,0.33839298197607715
0.588235294117647,0.8981173072809683,0.4651849397033576,0.3499498174724894,0.3206784559948945
0.5555555555555555,0.9852643212728267,0.47642081340447445,0.33997691628032567,0.30525201077585357
0.5263157894736841,1.0848948820301991,0.49266158417167116,0.3326196442246203,0.2918068944307546
0.5,1.1970275694676014,0.5138054233313007,0.32766638468911086,0.28009775499255535
0.4761904761904763,1.3216870395312308,0.5397941826859313,0.32495273196116886,0.2699267005306702
0.45454545454545453,1.4588938480520512,0.5706029057914223,0.32435113770608687,0.2611329531927396
0.4347826086956522,1.608657079157371,0.6062319277280618,0.32576313502635607,0.25358508515312744
0.41666666666666663,1.7709690576249837,0.6467008435358289,0.32911343296273826,0.24717512846496523
0.4,1.9458016291425395,0.6920438536026072,0.3343453670923203,0.24181403257150175
0.3846153846153846,2.1331036382169977,0.7423061248362096,0.3414173694307362,0.23742815678250337
0.37037037037037035,2.3327993373021143,0.7975409196010085,0.35030019476728164,0.23395649015140615
0.35714285714285715,2.5447875173687544,0.857807304187124,0.36097471160748645,0.23134847374773115
0.3448275862068965,2.7689412189850278,0.9231683010377032,0.37343013399898767,0.22956223339004964
0.3333333333333333,3.0051078920931533,0.9936893838099414,0.3876625985166808,0.2285631616731278
0.3225806451612903,3.2531099318497056,1.0694372524034625,0.40367398121487574,0.228322761684438
0.3125,3.5127454867522827,1.150478809792082,0.42147094363703674,0.22881768635365474
0.30303030303030304,3.783789519505511,1.2368803158163988,0.4410641290859135,0.2300289565022715
0.2941176470588235,4.065995032596386,1.3287066886253855,0.4624674876657885,0.23194128925665836
0.2857142857142857,4.359094444195349,1.4260209095196301,0.4856977244049285,0.23454255654711437
0.2777777777777778,4.662801070951779,1.528883524986259,0.5107738085627734,0.2378233048815827
0.27027027027027023,4.976810679895498,1.6373522382562,0.5377165846222737,0.24177637181167463
0.2631578947368421,5.300803102411781,1.7514815577781364,0.5665484166967436,0.24639654277541898
0.2564102564102564,5.634443868415723,1.8713225103511304,0.5972929018380674,0.2516802691448277
0.25,5.9773858631333106,1.9969224055680945,0.6299746156522231,0.25762542048614795
0.24390243902439027,6.3292709613733935,2.128324629099032,0.6646189034509294,0.2642310906548351
0.23809523809523814,6.6897316538295595,2.265568505949055,0.7012516876860386,0.27149740404785033
0.23255813953488372,7.058392637736158,2.408689157721848,0.7398993232182078,0.27942537866750755
0.2272727272727273,7.434872360498134,2.557717412963128,0.7805884491132942,0.2880168005725825
0.2222222222222222,7.8187845221115415,2.712679751373602,0.823345889336788,0.2972740952596253
0.2173913043478261,8.209739502114266,2.8735982354185112,0.8681985375914263,0.30720026918005816
0.21276595744680854,8.60734572562288,3.0404905009900833,0.9151732957917844,0.3177988073239079
0.20833333333333334,9.011210974090064,3.213369749159913,0.9642969648643662,0.3290736089543218
0.2040816326530612,9.420943618890828,3.3922447328489613,1.0155962401544145,0.3410289468865046
0.2,9.836153720821923,3.577119816411987,1.0690975968202603,0.3536694146328058
0.19607843137254904,10.256454195462625,3.7679949656811216,1.124827293636705,0.36699987137220924
0.19230769230769235,10.681461687187477,3.9648658226403906,1.182811308241724,0.38102544581198683
0.18867924528301888,11.110797598931242,4.1677237473846604,1.2430753227864437,0.3957514694720143
0.18518518518518517,11.54408885225418,4.37655591164702,1.3056446496757803,0.4111834762538253
0.18181818181818182,11.980968653582176,4.591345292972329,1.3705443064861784,0.4273271758226671
0.17857142857142858,12.421077238064617,4.812070847665306,1.4377988695761743,0.4441884539540833
0.1754385964912281,12.864062412889687,5.038707524021707,1.507432548589542,0.4617733125414685
0.1724137931034483,13.309580117568391,5.271226409284173,1.5794691493136144,0.4800879253524459
0.1694915254237288,13.757294913193665,5.509594752443224,1.653932010370417,0.49913858814972417
0.16666666666666666,14.206880387971939,5.753776120672248,1.730844082368282,0.5189316801892364
0.1639344262295082,14.658019483371087,6.0037304954358515,1.8102278368656144,0.5394737416271168
0.16129032258064518,15.110404795973178,6.259414359913651,1.892105278280922,0.5607713904242275
0.15873015873015872,15.563738825668207,6.520780783736621,1.97649796992661,0.5828313476673895
0.15625,16.01773410023213,6.78777960289825,2.0634270024131878,0.605660442760211
0.15384615384615385,16.47211340505919,7.06035745993718,2.152912922111405,0.6292655788389637
0.15151515151515152,16.926609753705858,7.338457964386377,2.244975890791217,0.6536537723571769
0.1492537313432836,17.380966540296594,7.62202178070314,2.3396354792036167,0.6788320969378123
0.14705882352941177,17.834937463265074,7.910986764921769,2.436910817535913,0.7048077144074437
0.14492753623188406,18.288286569438807,8.205288052447592,2.536820503227505,0.731587894852136
