tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N0,Energy_H_N0
7.025,2951.7794029693023,2998.064875986939,2997.301032260891,2997.301032260891
7.075,2950.9427189484813,2997.8719920877516,2997.094458049214,2997.094458049214
7.125,2950.1063533723814,2997.683672312488,2996.8922214235213,2996.8922214235213
7.175,2949.270193885873,2997.49979871202,2996.694202088194,2996.694202088194
7.225,2948.4341322527143,2997.320257428553,2996.50028384394,2996.50028384394
7.2749999999999995,2947.598064325522,2997.144938667892,2996.3103544528117,2996.3103544528117
7.324999999999999,2946.7618896979343,2996.9737363486583,2996.12430553582,2996.12430553582
7.374999999999999,2945.925511817762,2996.8065482198695,2995.9420322761393,2995.9420322761393
7.424999999999999,2945.088837529701,2996.6432753986,2995.7634334773766,2995.7634334773766
7.474999999999999,2944.2517771256066,2996.4838224234336,2995.5884111876185,2995.5884111876185
7.524999999999999,2943.4142441642584,2996.3280970735364,2995.416870800777,2995.416870800777
7.574999999999998,2942.5761554296528,2996.176010328556,2995.2487207469962,2995.2487207469962
7.624999999999998,2941.7374306995307,2996.0274761353185,2995.083872444989,2995.083872444989
7.674999999999998,2940.897992516228,2995.882411176658,2994.922240239245,2994.922240239245
7.724999999999998,2940.0577665000155,2995.7407351925604,2994.7637411265246,2994.7637411265246
7.774999999999998,2939.216680674063,2995.6023702948346,2994.608294896794,2994.608294896794
7.8249999999999975,2938.3746658115306,2995.467241322503,2994.4558237514575,2994.4558237514575
7.874999999999997,2937.531655278567,2995.3352756839377,2994.306252465244,2994.306252465244
7.924999999999997,2936.687584569974,2995.2064028854506,2994.159508076619,2994.159508076619
7.974999999999997,2935.842391678395,2995.080554909334,2994.0155199600367,2994.0155199600367
8.024999999999997,2934.9960168360176,2994.9576659524355,2993.8742196490584,2993.8742196490584
8.074999999999998,2934.148402288874,2994.8376721976024,2993.7355408911462,2993.7355408911462
8.124999999999996,2933.299492584521,2994.720512108873,2993.5994191937157,2993.5994191937157
8.174999999999995,2932.449233994753,2994.6061258440736,2993.4657924121066,2993.4657924121066
8.224999999999996,2931.597574935991,2994.4944556853934,2993.334599866066,2993.334599866066
8.274999999999997,2930.744465481622,2994.385445543138,2993.2057830895374,2993.2057830895374
8.324999999999996,2929.8898577835444,2994.2790413876974,2993.0792850973135,2993.0792850973135
8.374999999999995,2929.0337053307153,2994.1751904937078,2992.9550506971077,2992.9550506971077
8.424999999999995,2928.175963654739,2994.073842162252,2992.833026301031,2992.833026301031
8.474999999999996,2927.3165896140185,2993.9749469908606,2992.713159938472,2992.713159938472
8.524999999999995,2926.4555419654585,2993.8784574592146,2992.595401099005,2992.595401099005
8.574999999999994,2925.592780428584,2993.7843269735595,2992.4797007976576,2992.4797007976576
8.624999999999995,2924.7282667520026,2993.692510958583,2992.366011389879,2992.366011389879
8.674999999999995,2923.8619637065017,2993.602965828886,2992.254286710146,2992.254286710146
8.724999999999994,2922.993835585725,2993.5156495023143,2992.1444817286056,2992.1444817286056
8.774999999999993,2922.123847937338,2993.430521126127,2992.0365529120327,2992.0365529120327
8.824999999999994,2921.2519675246945,2993.3475410388487,2991.930457826921,2991.930457826921
8.874999999999995,2920.3781625201646,2993.266670969454,2991.826155196597,2991.826155196597
8.924999999999994,2919.502402013939,2993.187873535346,2991.723605027011,2991.723605027011
8.974999999999993,2918.624656537974,2993.1111127802637,2991.6227683006355,2991.6227683006355
9.024999999999993,2917.7448974653566,2993.0363535598294,2991.5236071872373,2991.5236071872373
9.074999999999994,2916.8630974236507,2992.963561966261,2991.426084785505,2991.426084785505
9.124999999999993,2915.9792299166106,2992.8927049415233,2991.330165315193,2991.330165315193
9.174999999999992,2915.0932696571963,2992.823750619913,2991.235813882031,2991.235813882031
9.224999999999993,2914.205192296384,2992.7566680509494,2991.1429965569428,2991.1429965569428
9.274999999999993,2913.3149741100697,2992.6914268787737,2991.0516803353657,2991.0516803353657
9.324999999999992,2912.422592733709,2992.6279980972736,2990.9618331536085,2990.9618331536085
9.374999999999991,2911.5280264650396,2992.5663533352317,2990.8734236141695,2990.8734236141695
9.424999999999992,2910.631254495806,2992.5064650950862,2990.786421378115,2990.786421378115
9.474999999999993,2909.7322566754847,2992.448306510965,2990.700796678524,2990.700796678524
9.524999999999991,2908.8310140899175,2992.391851944385,2990.616520795514,2990.616520795514
