Temperature,Exact_N_256,N_2,N_4,N_8,N_16
5.0,0.20583212179083388,0.20532304002111787,0.20580659027967613,0.2058321611658485,0.2058325302999654
3.333333333333333,0.11609407254342455,0.11244986776615726,0.11586627108387881,0.11608067922173766,0.11609343185157515
2.5,0.08260190912585708,0.06801521584060045,0.08166790420085195,0.082543863869831,0.08259849554918709
2.0,0.0645432756891241,0.02166446871322113,0.061753698804008286,0.0643676303172833,0.0645323835624731
1.6666666666666665,0.053112003443324965,-0.05012903046618218,0.04628054543263281,0.05267921000006611,0.05308499233908023
1.4285714285714284,0.04518218125703276,-0.17085236253613129,0.030609729431997964,0.04425362903152823,0.04512392442263427
1.25,0.039342302507609145,-0.3679600833475591,0.011269766205847267,0.03754282049775125,0.03922923084348442
1.111111111111111,0.0348566172109754,-0.6735705962147381,-0.015143900955780415,0.03163016909337605,0.03465339105129011
1.0,0.031302597955567765,-1.124161558407592,-0.0523789008576423,0.025863334207329905,0.030959282392403118
0.9090909090909091,0.028421341469807068,-1.759813535648071,-0.1047114835694222,0.01969873605013125,0.02786958094043888
0.8333333333333333,0.026045837091207488,-2.623223939140363,-0.17704018980391312,0.012624884636029595,0.02519495026275514
0.769230769230769,0.024064462872759897,-3.758627910695647,-0.27493061095090804,0.004121425851273814,0.022796732820889436
0.7142857142857141,0.022398920160597233,-5.21071962613335,-0.4046331075805899,-0.006367253968892631,0.020565503241326697
0.6666666666666665,0.020992779442341986,-7.02364777462184,-0.5730788017650481,-0.019448145525413556,0.018407578433048903
0.625,0.01980259691298011,-9.240133731082693,-0.7878581770288956,-0.035790591163039266,0.01623809863030913
0.588235294117647,0.01879423013142309,-11.900739833688087,-1.0571892505135403,-0.05613453372184649,0.013974482191703273
0.5555555555555555,0.017939037919510143,-15.043304428958923,-1.389872330184336,-0.081297177886432,0.011534569505145769
0.5263157894736841,0.01721358470764014,-18.702537183200157,-1.7952376642789605,-0.1121748315795606,0.008833160754719297
0.5,0.016595370583236277,-22.909769697710953,-2.283085238553592,-0.1497490979311993,0.0057815393712371795
0.4761904761904763,0.01606636819102566,-27.692836881764077,-2.863621339190601,-0.19508624901544044,0.0022865830696723395
0.45454545454545453,0.01560862942942417,-33.076076504167965,-3.5473893332573376,-0.24934004418916983,-0.0017507082860544311
0.4347826086956522,0.01520845815482082,-39.08041722076073,-4.345197422494174,-0.3137543233718603,-0.006436343832558479
0.41666666666666663,0.014850159906595937,-45.723535151144986,-5.268054518669841,-0.38966042296662906,-0.011880278461575501
0.4,0.014524706770316684,-53.0200614199653,-6.327092536144477,-0.4784771070306301,-0.018200090364553022
0.3846153846153846,0.014218204572508162,-60.98182816675284,-7.5335017000289355,-0.581715749871407,-0.025524011643407958
0.37037037037037035,0.013923917417444745,-69.61811813071023,-8.898467350342424,-0.7009720243171806,-0.033981851297935906
0.35714285714285715,0.013632525060549367,-78.93593548197403,-10.433101609137609,-0.837929017535857,-0.04371416328504677
0.3448275862068965,0.013338172669550395,-88.94026528336782,-12.148391287442209,-0.994357480101992,-0.05487342423991064
0.3333333333333333,0.013034056689357374,-99.63432622288181,-14.05514064798177,-1.17210798524483,-0.06761223071417764
0.3225806451612903,0.012718190193723467,-111.01980817938225,-16.163925129315157,-1.3731144362921015,-0.08209708723872697
0.3125,0.012382477810382835,-123.09709323654643,-18.48504845504998,-1.5993881800270071,-0.09850851109027856
0.30303030303030304,0.012029059630539256,-135.86545434369506,-21.028498095811262,-1.8530189563306052,-0.11701979785663996
0.2941176470588235,0.011652681276425712,-149.32324484608236,-23.803923578965435,-2.1361656921402536,-0.13783593412654466
0.2857142857142857,0.0112577662259573,-163.4680492034201,-26.820599740317302,-2.4510602215179222,-0.16115024527040064
0.2777777777777778,0.01083551554262642,-178.29684725809378,-30.087408872356562,-2.8000001711927456,-0.1871844347652427
0.27027027027027023,0.01039698763582389,-193.80611204712724,-33.61281834666394,-3.185338912593403,-0.2161509855412853
0.2631578947368421,0.009937133869808157,-209.99193708392679,-37.40487274175896,-3.609506601561547,-0.24829291439964413
0.2564102564102564,0.009463196653425687,-226.8501429311663,-41.47118507301014,-4.0749610210649525,-0.2838412470714536
0.25,0.008972436636686357,-244.3763292797142,-45.81892624676616,-4.584234085276739,-0.3230655636638414
0.24390243902439027,0.008474308858327596,-262.56595035400255,-50.45481812008356,-5.139893498416356,-0.3662143273363578
0.23809523809523814,0.007974488245323255,-281.414407879387,-55.38516782146336,-5.74455333626227,-0.4135695558074745
0.23255813953488372,0.0074654640863882635,-300.91704956935735,-60.6158174354182,-6.400847764501487,-0.4654201522420898
0.2272727272727273,0.006970095098875487,-321.06923078853805,-66.1522038279118,-7.111495871168809,-0.5220502383235487
0.2222222222222222,0.00647100561362455,-341.86636759095137,-71.99933992845719,-7.879152905754237,-0.5837905921505849
0.2173913043478261,0.005995010154200738,-363.30391180550276,-78.1618278029554,-8.706616385748417,-0.6509375404407385
0.21276595744680854,0.005521257169591232,-385.3774477091936,-84.64387339459525,-9.596604882352201,-0.723843021782069
0.20833333333333334,0.00508042091667654,-408.0826175694301,-91.4493177195725,-10.55190032367114,-0.8028347105741529
0.2040816326530612,0.0046521123600960475,-431.415207123996,-98.58160430383545,-11.575300661506645,-0.8882783135027764
0.2,0.004241532308515176,-455.37115621846914,-106.04386488579367,-12.669581379037163,-0.9805357478675469
0.19607843137254904,0.0038654731904994833,-479.94646680738117,-113.83887639262792,-13.837556197052196,-1.0799881029992215
0.19230769230769235,0.0035035757115110555,-505.13733278204023,-121.96907942437778,-15.08200689420047,-1.1870284682957017
0.18867924528301888,0.0031757231079391317,-530.9401062172149,-130.4366739693457,-16.40574416118767,-1.3020607105062483
0.18518518518518517,0.0028587230125441997,-557.3512309483539,-139.243478071444,-17.81153494824958,-1.4254855323219877
0.18181818181818182,0.00258397261891515,-584.3673103215278,-148.39115615986822,-19.302160298922576,-1.5577428004926823
0.17857142857142858,0.002319419777095326,-611.985073005124,-157.88102709511602,-20.88037805027924,-1.6992552638366876
0.1754385964912281,0.0020747793899383283,-640.2014588694806,-167.71422814114402,-22.548908223962794,-1.8504943396025748
0.1724137931034483,0.0018623016237188199,-669.0134168267251,-177.89164114067265,-24.310501067043123,-2.0118856843419817
0.1694915254237288,0.001660001940422217,-698.4181485050045,-188.4139876068438,-26.167808611033095,-2.1839114275471565
0.16666666666666666,0.0014773183884099178,-728.4129162209545,-199.28174686704088,-28.123509650241683,-2.3670617454992695
0.1639344262295082,0.0013210870596161157,-758.9950867058931,-210.4952450545314,-30.180237481874542,-2.561813239390938
0.16129032258064518,0.0011579712066240545,-790.1622275060804,-222.05468380160374,-32.340569684585176,-2.7686606037938812
0.15873015873015872,0.0010316006715176665,-821.9119277892635,-233.96003168210007,-34.60707443985362,-2.9881069865331766
0.15625,0.0009206298160552932,-854.2419296153216,-246.21118989038342,-36.98229657050114,-3.2207078628730605
0.15384615384615385,0.0007826768315862892,-887.1501600291068,-258.8079008445994,-39.46865140540301,-3.4669435280952143
0.15151515151515152,0.0007047220075316752,-920.6343835786593,-271.7498162640736,-42.06864459135354,-3.727381603144662
0.1492537313432836,0.0006183867730200258,-954.6929166165978,-285.03643577508706,-44.784610086724136,-4.002540617568089
0.14705882352941177,0.0005143740485236065,-989.3235735326975,-298.6672241291844,-47.618927291388566,-4.293007985293023
0.14492753623188406,0.0004663195239426543,-1024.524881288784,-312.6415576116947,-50.57389752096888,-4.599323814753302
0.14285714285714285,0.00038053388567641514,-1060.294877162842,-326.9586001645927,-53.65171028943425,-4.922059655991866
0.14084507042253522,0.0003334262035461154,-1096.6321950617307,-341.61770860261765,-56.85463492598556,-5.261800744542952
0.1388888888888889,0.000284226762503384,-1133.535148201712,-356.61791282618685,-60.184778699995846,-5.619144453163564
0.136986301369863,0.00020806541010970326,-1171.002261322289,-371.95835438261565,-63.64420846461222,-5.99465344303849
0.13513513513513511,0.00019194813878275354,-1209.0321598847288,-387.6380752705048,-67.23503126193849,-6.388946996146435
0.13333333333333333,0.0001333100182819185,-1247.6236218435822,-403.6560741760084,-70.95916402193131,-6.802677593840078
0.13157894736842105,9.044061079621347e-05,-1286.7752477869756,-420.01125520995214,-74.8185692649063,-7.236383138213742
0.12987012987012989,7.12334258039478e-05,-1326.4859251979026,-436.70265278115534,-78.81513935644672,-7.690722008916967
0.12820512820512822,1.9924111403524946e-05,-1366.7543093271333,-453.7291516706944,-82.95064885553876,-8.166337828158634
0.12658227848101264,2.6154842458199573e-05,-1407.579556872175,-471.0896020233732,-87.22688938976536,-8.663848936593745
0.125,-6.601996719837153e-05,-1448.960507714115,-488.7828921082441,-91.64561605603944,-9.183875170633147
0.12345679012345677,-3.206385878613232e-05,-1490.8961148050594,-506.8079201828096,-96.208361732187,-9.727162278787064
0.12195121951219513,-8.042361319996444e-05,-1533.385435684903,-525.1634241919406,-100.91685761046767,-10.29417011344794
0.12048192771084336,-0.00010969671603757736,-1576.4276912428768,-543.8483953400714,-105.77258735772338,-10.885774527832027
0.11904761904761901,-0.00013724548570811804,-1620.0217196345825,-562.8615325472622,-110.77706695931207,-11.502475584479392
0.11764705882352941,-0.00016024401574395655,-1664.1672267547356,-582.2018891092772,-115.93167403422231,-12.145022390657147
0.11627906976744184,-0.00017622770224697955,-1708.8627006067907,-601.8679679775429,-121.23786312965657,-12.814003271621143
0.1149425287356322,-0.00018760867153527275,-1754.107926996276,-621.8589272994689,-126.69697524884715,-13.510237065254364
0.11363636363636363,-0.00022532880261540096,-1799.9020262712665,-642.1734145964087,-132.31015315281456,-14.234294403667695
0.11235955056179772,-0.00023433135533938279,-1846.2442565789652,-662.8103662453858,-138.07885963381088,-14.986801819029782
0.1111111111111111,-0.0002897523888386796,-1893.1339849624976,-683.768697718298,-144.0040044946855,-15.768533826904893
0.10989010989010987,-0.0002894902120879863,-1940.5706811388645,-705.04715433918,-150.08693833108515,-16.580224546164878
0.10869565217391305,-0.00029882890928536755,-1988.5534567220598,-726.6446610566136,-156.32862084993644,-17.422454598096035
0.1075268817204301,-0.0003428014863235828,-2037.0821608802773,-748.5602060402856,-162.7300200911988,-18.295953523629787
0.10638297872340423,-0.00035717365124263015,-2086.1557682141406,-770.7926501745654,-169.29233433901894,-19.201435943066482
0.10526315789473684,-0.000374062454036904,-2135.7741663042175,-793.3407075490317,-176.01630331142348,-20.139547309404367
0.10416666666666666,-0.000388017218112947,-2185.936632515825,-816.2037204803856,-182.902872881685,-21.111047762596687
0.10309278350515463,-0.00045726765008642623,-2236.64255036632,-839.3804135990005,-189.95286011304526,-22.116581590626854
0.1020408163265306,-0.000427414907654749,-2287.8919308293443,-862.8695547336288,-197.16709799145073,-23.156934028131538
0.101010101010101,-0.0004947799945087193,-2339.6836462072106,-886.6705614891359,-204.54646099364882,-24.232608220139063
0.1,-0.0005437233252450843,-2392.0180565503047,-910.7822060407403,-212.09132806856726,-25.34454969423832
0.099009900990099,-0.0005084037317964269,-2444.8938433606977,-935.2033663738065,-219.80277517376928,-26.493368246456015
0.0980392156862745,-0.0005694464559014807,-2498.3115197943257,-959.9334198492658,-227.68114329304075,-27.67959330290532
0.0970873786407767,-0.0005987733823177427,-2552.269997920883,-984.971096172178,-235.7271908210891,-28.90426114621191
0.09615384615384613,-0.0005904131436347985,-2606.7697086761987,-1010.3156250266405,-243.94135077603585,-30.16765862335083
0.09523809523809523,-0.0006919098569196674,-2661.8089317045083,-1035.9662116422,-252.32423487727348,-31.470944676786598
0.09433962264150943,-0.0006821865473967072,-2717.3891068760054,-1061.9217214283497,-260.87644987916724,-32.81439181008773
0.09345794392523364,-0.0007198387913731759,-2773.5085664341977,-1088.181300026981,-269.5980073038632,-34.19897292942673
0.09259259259259259,-0.0007566391759738355,-2830.1675561755897,-1114.7444960758025,-278.4898375193966,-35.62525260008736
0.09174311926605502,-0.0008425368112628382,-2887.3658012771766,-1141.6097584289428,-287.55213670188505,-37.09400280355797
0.09090909090909091,-0.0007705961565952775,-2945.1021149870744,-1168.7769911090556,-296.7850710737069,-38.6058217130051
0.09009009009009007,-0.0008890432839444871,-3003.378514889728,-1196.2449072370305,-306.1892324143685,-40.16146356546865
0.08928571428571427,-0.0009262942439317573,-3062.1915728398467,-1224.0128354754313,-315.7647783885876,-41.76161484908224
0.08849557522123894,-0.000977401791901797,-3121.5442171033224,-1252.0800415217736,-325.51195460775534,-43.40695729980821
0.08771929824561402,-0.0009644963309168853,-3181.4334940233953,-1280.4459813127828,-335.43115646351055,-45.09802492966614
0.08695652173913043,-0.001009983420022767,-3241.8608822224082,-1309.109495718801,-345.5223798128292,-46.83584107173839
0.08620689655172413,-0.0011891679070517467,-3302.8258191438167,-1338.0701766069128,-355.7858830419903,-48.620694369619706
0.08547008547008546,-0.0010682975669950097,-3364.3274103287504,-1367.326973034075,-366.22210875395143,-50.453478144916545
0.0847457627118644,-0.0012479667570069477,-3426.3662930890882,-1396.8799380278504,-376.8305770106431,-52.3348233683553
0.08403361344537813,-0.0011873226718977139,-3488.9418737668043,-1426.7274958200167,-387.61208747191796,-54.26531401989547
0.08333333333333333,-0.0012752034366130874,-3552.0536291344365,-1456.8696053362467,-398.56613766492296,-56.24573461657782
0.08264462809917354,-0.0013850457374937884,-3615.702314433086,-1487.3053176558944,-409.69340626979465,-58.27667638881204
0.08196721311475409,-0.0013938910798914534,-3679.886793267987,-1518.0341451161435,-420.9931846689465,-60.358739862929625
0.08130081300813008,-0.0015018428549822473,-3744.6081709983805,-1549.0552813673182,-432.46633783911363,-62.492664971194486
0.08064516129032256,-0.0014584165426716265,-3809.8635382021353,-1580.3686178675753,-444.1122395431007,-64.67899246969459
0.08,-0.0016619211601209883,-3875.656399999221,-1611.9729311584945,-455.9311897936293,-66.91849924664008
0.07936507936507936,-0.0016089979813713644,-3941.9837066009977,-1643.867921466469,-467.92307534995496,-69.21164778249559
0.07874015748031496,-0.0016584851836459477,-4008.847033915916,-1676.0536780020116,-480.0878531806685,-71.55916782742736
0.078125,-0.001872605323791511,-4076.2454102649076,-1708.5278869142212,-492.4255192246265,-73.96179641937285
0.07751937984496123,-0.0018445356121170407,-4144.178426261401,-1741.2923675164718,-504.9359724515466,-76.41988094067021
0.07692307692307693,-0.001892991716507829,-4212.647378664286,-1774.3446081155191,-517.6190085156096,-78.93412664785869
0.07633587786259541,-0.002041803837618798,-4281.649846487654,-1807.6854027990635,-530.4750019439664,-81.50532810889442
0.07575757575757575,-0.0020255621172487453,-4351.188217915179,-1841.3129097279898,-543.5031020907269,-84.1339031163372
0.07518796992481203,-0.0022244271798664782,-4421.261149402088,-1875.2287796747103,-556.7035392020222,-86.82034922185908
0.07462686567164178,-0.002209913671230906,-4491.866850472449,-1909.430323036454,-570.0765898671098,-89.56559834010928
0.07407407407407407,-0.0023307338595623234,-4563.009027372128,-1943.918173812377,-583.6214411233557,-92.36982412282556
0.07352941176470587,-0.002423959780335436,-4634.685108750249,-1978.6914790482938,-597.3382542675566,-95.23398706838734
0.072992700729927,-0.0025473694022092614,-4706.8938282334775,-2013.7508873109668,-611.2269779900532,-98.1583440923938
0.07246376811594203,-0.0025140639627445585,-4779.637834279921,-2049.094182726041,-625.2872282100727,-101.1437570143235
0.07194244604316545,-0.00276339705757565,-4852.915700775468,-2084.7224767433054,-639.5186278843282,-104.19034534006823
0.07142857142857142,-0.00278500044811518,-4926.727078825937,-2120.6340693942384,-653.9214813029015,-107.29923880766835
0.07092198581560283,-0.00292700980299852,-5001.072639755525,-2156.8301905015937,-668.4952838412366,-110.4702456886014
0.0704225352112676,-0.002960523651465732,-5075.950740278824,-2193.309151542613,-683.239999096677,-113.705017204312
0.06993006993006992,-0.0030888929146295524,-5151.364799862967,-2230.07014598038,-698.1549385543179,-117.00260306994213
0.06944444444444443,-0.00321691744565965,-5227.309350753218,-2267.1150401058107,-713.2406300141548,-120.36508874488283
0.06896551724137931,-0.0033680298434337723,-5303.789319601575,-2304.4411704900904,-728.49613353411,-123.79172509440724
0.0684931506849315,-0.003428933850191547,-5380.8023300042505,-2342.048989582354,-743.9217559393164,-127.28366470816789
0.06802721088435373,-0.003545034258544861,-5458.3483185674295,-2379.938271812498,-759.5166983943761,-130.8413954720733
0.06756756756756756,-0.0037455092472955718,-5536.427212548025,-2418.1086693442553,-775.2815299644028,-134.46522165928621
0.06711409395973153,-0.003775669184622836,-5615.039787562456,-2456.560163747578,-791.2148295458741,-138.1557407890611
