tau_mid,N_2,N_4,N_8,N_16,N_256
6.75,2498.8164858688833,3745.660521548998,4515.237546393182,4795.027762827231,4900.099107416463
6.85,2471.6421218568576,3722.595558416506,4505.05337058974,4791.943467552192,4900.047178901732
6.95,2444.9549331192975,3699.622620936134,4494.791727686534,4788.822584878653,4899.99738810875
7.05,2418.745518550568,3676.7469879158307,4484.4547901599435,4785.665287528536,4899.949667224428
7.1499999999999995,2393.0045191544923,3653.973639367614,4474.044716248754,4782.471746936208,4899.903944447869
7.25,2367.722635958926,3631.3072655629367,4463.563648809213,4779.242133111693,4899.860143712722
7.35,2342.89064587967,3608.7522758560954,4453.013714355184,4775.976614739629,4899.818184643518
7.45,2318.499415422848,3586.3128080253955,4442.397022269433,4772.67535939056,4899.777983676759
7.55,2294.5399127239943,3563.9927370712394,4431.715664288495,4769.338534132112,4899.739454304799
7.6499999999999995,2271.003217753605,3541.7956844659057,4420.971714005573,4765.966305919574,4899.702507507172
7.75,2247.8805313046905,3519.7250271681696,4410.167226525955,4762.558842287981,4899.667053195881
7.85,2225.1631823179196,3497.783906455734,4399.3042383220745,4759.116312049446,4899.633000633912
7.95,2202.8426342923194,3475.9752369625494,4388.384766862728,4755.638885826338,4899.6002589550335
8.05,2180.9104904305423,3454.3017152807442,4377.410810623551,4752.126736736973,4899.568738501985
8.15,2159.358497892972,3432.7658286644146,4366.384348804131,4748.5800409532385,4899.538351105875
8.25,2138.178551159508,3411.3698634819593,4355.307341253501,4744.998978158692,4899.509010644979
8.350000000000001,2117.362694577314,3390.115913495538,4344.181728281546,4741.383732004324,4899.480633494677
8.450000000000001,2096.903124334058,3369.0058879880235,4333.009430466918,4737.734490365838,4899.453139596735
8.55,2076.792189607222,3348.0415196949616,4321.792348508607,4734.051445788937,4899.426451726467
8.65,2057.0223933897796,3327.224372489727,4310.53236288426,4730.334795390372,4899.400496609742
8.75,2037.5863926525926,3306.555848987773,4299.2313337669475,4726.584741300321,4899.375204400276
8.850000000000001,2018.47699816135,3286.0371977218892,4287.891100607812,4722.801490438287,4899.350509406067
8.950000000000001,1999.6871739206836,3265.6695203325944,4276.513481930597,4718.985254688887,4899.326349817566
9.05,1981.210036186094,3245.453778328374,4265.100275059231,4715.136250716168,4899.3026673852
9.15,1963.0388523286092,3225.390799844172,4253.65325573599,4711.25470006722,4899.279408042203
9.25,1945.167039349908,3205.4812859511003,4242.174177827546,4707.340828755405,4899.256520984927
9.350000000000001,1927.5881621724693,3185.7258169492707,4230.664773160825,4703.394867361058,4899.233959605335
9.450000000000001,1910.29593178886,3166.124858238036,4219.126750988071,4699.417050818447,4899.21168009867
9.55,1893.2842032064218,3146.6787661775015,4207.561797861708,4695.407618025201,4899.189642240526
9.65,1876.5469733029022,3127.387793636881,4195.971577336313,4691.3668119342765,4899.16780888394
9.750000000000002,1860.0783785097883,3108.2520953100175,4184.3577296013245,4687.294879106921,4899.146145834238
9.850000000000001,1843.8726924359798,3089.2717328330036,4172.721871344838,4683.192069690558,4899.1246215073625
9.950000000000001,1827.9243233951274,3070.446679868037,4161.065595485852,4679.05863699445,4899.103207049193
10.05,1812.227811908815,3051.7768266500207,4149.39047095133,4674.894837527536,4899.0818759961985
10.15,1796.7778280988568,3033.2619847741444,4137.698042422999,4670.70093062066,4899.060603907565
10.250000000000002,1781.5691691054963,3014.9018913629698,4125.989830316976,4666.4771782717435,4899.039368652739
