Temperature,N_2,N_4,N_8,N_16,N_0
5.0,0.5960520369491682,0.5960482748505964,0.5960469351533617,0.5960465749806471,0.5960464530555418
3.333333333333333,0.3442790773770626,0.3442900061836908,0.34429003198735353,0.34428986949502427,0.34428979958623757
2.5,0.24633507721008746,0.24639086064788526,0.24639389813433413,0.2463939720583708,0.2463939368393925
2.0,0.19280643602115735,0.19297841910517302,0.1929888795185688,0.1929894493677711,0.19298945631121744
1.6666666666666665,0.15855272038467236,0.1589778882113938,0.15900438958972699,0.1590059844574007,0.15900606884445304
1.4285714285714284,0.1343894889749551,0.1353012520678556,0.13535857839027413,0.13536212225275804,0.13536234047629048
1.25,0.11603311447486288,0.1177976734155417,0.11790915646363055,0.1179161114120484,0.11791656315676874
1.111111111111111,0.10112208528263442,0.10427992875089642,0.10448020804722799,0.1044927493150137,0.10449358052613393
1.0,0.08816275506367677,0.09347491956391607,0.09381309329939543,0.09383431527734504,0.0938357252366259
0.9090909090909091,0.0760849413535918,0.08458340154771456,0.08512655153918133,0.0851606823986611,0.0851629615284892
0.8333333333333333,0.06402964079685505,0.07707165209479626,0.07790866029588502,0.07796133421171451,0.07796485100079324
0.769230769230769,0.05123784706531614,0.07056330238285995,0.07180916447760824,0.0718876473340316,0.0718928889604896
0.7142857142857141,0.036987778221648254,0.06477933524873586,0.06657965319529886,0.06669319604825474,0.06670079265116727
0.6666666666666665,0.02055726334755308,0.05950275255372978,0.062038574596139345,0.062198740405714464,0.06220945025925173
0.625,0.0012005834992229957,0.05455647284448155,0.05804972755000005,0.05827067095994959,0.05828542272761473
0.588235294117647,-0.02186679347877098,0.049789843078083325,0.0545083899726532,0.054807241681463746,0.05482727385217553
0.5555555555555555,-0.04947807518427955,0.04506840555680448,0.051332382149656734,0.051729756417784344,0.05175632826860293
0.5263157894736841,-0.08252061733105118,0.04026839212265804,0.0484558153663623,0.0489760932880181,0.04901093450823923
0.5,-0.12194109549233734,0.035271492151077964,0.04582492443267273,0.046496714509092436,0.04654167947312834
0.4761904761904763,-0.16874614133782778,0.02996218917565708,0.043394823072243544,0.04425139897457784,0.04430882687439904
0.45454545454545453,-0.22400425732957183,0.02422431617696535,0.041127478640691814,0.042207639040679173,0.042280021277966415
0.4347826086956522,-0.2888446633068126,0.017940869008963328,0.03899017009039114,0.04033791457398965,0.040428251826685115
0.41666666666666663,-0.3644561483877895,0.010990317054279141,0.036953999135121686,0.03861978932227937,0.038731649524904765
0.4,-0.4520857846637223,0.003248196129788991,0.03499281840013279,0.03703418865115961,0.03717122007183204
0.3846153846153846,-0.5530357009191342,-0.005416405473107026,0.033083512495651494,0.035564772084544075,0.03573141441011581
0.37037037037037035,-0.6686604114699213,-0.015139682003954647,0.031203757180669908,0.034197678115408026,0.034399018552115856
0.35714285714285715,-0.8003632034901335,-0.026064158787485185,0.029333255142653333,0.03292110298548822,0.03316228196674023
0.3448275862068965,-0.9495930248684593,-0.03834007846618709,0.027452722642300052,0.03172421823715847,0.032011886141964326
0.3333333333333333,-1.1178395304159483,-0.05212452776165442,0.025542293506907277,0.030598229193768908,0.030938896974606882
0.3225806451612903,-1.3066296339584387,-0.06758209369791232,0.02358485695142657,0.029535413243497136,0.029936273396208527
0.3125,-1.5175222956120957,-0.08488527035892003,0.021559549522995936,0.028527501669526077,0.02899766613304613
0.30303030303030304,-1.7521067778130168,-0.10421518404238497,0.019452348687006724,0.027569773571124508,0.028117700493732092
0.2941176470588235,-2.0119906344770393,-0.12576081527123917,0.017239877524520258,0.026654664668377934,0.02729111912538761
0.2857142857142857,-2.298807718244772,-0.14971973584506473,0.014907650330176679,0.025778741950402015,0.026513688960520063
0.2777777777777778,-2.614200595334182,-0.176297707674802,0.012433706915443809,0.024935558087853804,0.02578187028226452
0.27027027027027023,-2.9598236392536927,-0.205708153277253,0.009801530395237488,0.024122401524191938,0.025092085103351834
0.2631578947368421,-3.337336333543862,-0.23817506813145223,0.006988555253252846,0.023333514065046308,0.024441934001909082
