Temperature,N_2,N_4,N_8,N_16
10.0,1.854754464447958,1.8548187377246905,1.8548347282427533,1.8548387209037025
6.666666666666666,1.4129216766442305,1.4130199073953162,1.4130439647058868,1.4130499477259761
5.0,1.1527930007520122,1.1529105802425745,1.1529380071106914,1.152944740258119
4.0,0.9695880554717856,0.9697243266128449,0.9697526014319195,0.9697593058641621
3.333333333333333,0.8328307117563439,0.8330031198302026,0.8330321246315165,0.8330384872164254
2.8571428571428568,0.7274137027872798,0.7276608975578207,0.727692701284823,0.7276987554343812
2.5,0.64416209587579,0.6445480403293916,0.6445867627309542,0.6445927783303587
2.222222222222222,0.577021625033496,0.5776413762382248,0.5776933145387992,0.5776997385412032
2.0,0.5218296732414426,0.5228166818027755,0.5228906786019859,0.5228981262686527
1.8181818181818181,0.47564349206056733,0.47717806441839816,0.4772860456484827,0.4772953220167927
1.6666666666666665,0.4363310965205379,0.4386497148453633,0.43880734275496774,0.4388194808348632
1.538461538461538,0.40230965735594687,0.4057149414295027,0.40594234796104794,0.40595865757372884
1.4285714285714282,0.3723739223804024,0.37724508103529975,0.3775676659387471,0.37758978713294417
1.333333333333333,0.3455816835882272,0.35238533333194916,0.35283462026021634,0.35286458126665804
1.25,0.3211761173281125,0.3304773640303955,0.33109190785601633,0.33113218744541567
1.176470588235294,0.29853231859306417,0.31100600181292365,0.31183234779155367,0.3118859406911296
1.111111111111111,0.27711994704112647,0.2935619458113759,0.29465563731547795,0.2947261226095578
1.0526315789473681,0.25647675556519967,0.27781526611702323,0.2792418980659921,0.2793335152545886
1.0,0.23618959932973752,0.26349628628740995,0.26533260357949473,0.2654503247284699
0.9523809523809526,0.2158806564421272,0.2503815931949436,0.25271663147945095,0.2528662463130296
0.9090909090909091,0.19519734824576382,0.23828365606960916,0.24121992283194155,0.2414081227034256
0.8695652173913044,0.17380491616781557,0.22704302870059237,0.2306977185047216,0.23093218412643443
0.8333333333333333,0.1513809422022895,0.21652241488543206,0.22102866530817106,0.22131816153862735
0.8,0.12761130518792155,0.20660210536268153,0.21211027767577642,0.21246474724136968
0.7692307692307692,0.10218721152992451,0.1971764249759679,0.20385541802933596,0.20428608977602092
0.7407407407407407,0.07480304354904224,0.18815094202195298,0.19618953299975267,0.1967090159575435
0.7142857142857143,0.045154825076196434,0.17944025149199036,0.18904845364315873,0.18967085472635983
0.689655172413793,0.012939174050363657,0.17096619638739052,0.182376636000025,0.18311767102227686
0.6666666666666666,-0.022147380300975763,0.16265642610542258,0.17612574629988542,0.17700284869542868
0.6451612903225806,-0.06040877682277784,0.15444322928164256,0.17025348550181071,0.17128593449200255
0.625,-0.10214959397570533,0.14626256249767408,0.16472264253813762,0.16593167773711792
0.6060606060606061,-0.14767502027767462,0.13805325038940766,0.15950029724947112,0.1609092477982825
0.588235294117647,-0.19729070463191528,0.12975632794440017,0.15455715165670203,0.15619156232704143
0.5714285714285714,-0.25130248954494594,0.12131448045231145,0.1498669840431867,0.15175474491515678
0.5555555555555556,-0.3100160621193874,0.11267157519501092,0.14540616360576003,0.1475776438405888
0.5405405405405405,-0.37373655285511115,0.10377227753783039,0.1411532667595125,0.14364144769166026
0.5263157894736842,-0.44276807938048196,0.09456171844803239,0.13708872632035052,0.1399293406855151
