tau_mid,N_16
0.35,14931572.148230905
0.85,14909329.309148068
1.35,14907936.850702189
1.85,14907539.939254126
2.35,14907373.7936982
2.85,14907290.978534386
3.35,14907247.089972982
3.85,14907225.495841673
4.35,14907219.317718048
4.85,14907225.79286614
5.35,14907244.144015063
5.85,14907274.686626056
6.35,14907318.376058338
6.85,14907376.630470058
7.35,14907451.166611943
7.85,14907543.95858949
8.35,14907657.201132946
8.85,14907793.223722778
9.35,14907954.561094107
9.85,14908143.875748029
10.35,14908363.952060023
10.85,14908617.707828773
11.35,14908908.20017621
11.85,14909238.560521277
12.35,14909612.055388307
12.85,14910032.016745552
13.35,14910501.93074578
13.85,14911025.259172216
14.35,14911605.677871913
