tau_mid,N_4
0.35,14927438.213756653
0.85,14887775.655507881
1.35,14854604.513065284
1.85,14808344.649067383
2.35,14748622.009166308
2.85,14675786.964952666
3.35,14590388.713938862
3.85,14493087.068329608
4.35,14384620.359380279
4.85,14265785.025740132
5.35,14137418.74710856
5.85,14000385.02526385
6.35,13855559.153047161
6.85,13703815.414099466
7.35,13546015.709928105
7.85,13382999.81002398
8.35,13215577.0763889
8.85,13044519.86459198
9.35,12870558.398987768
9.85,12694377.07820735
10.35,12516612.092372902
10.85,12337850.167743979
11.35,12158628.290785465
11.85,11979434.30198493
12.35,11800708.107779296
12.85,11622843.472047413
13.35,11446190.177444251
13.85,11271056.476819256
14.35,11097711.765596667
