tau_mid,N_8
0.35,14931459.4312239
0.85,14909217.261162573
1.35,14907830.03293393
1.85,14907447.9161314
2.35,14907313.99234362
2.85,14907291.064098904
3.35,14907347.264355619
3.85,14907480.687592186
4.35,14907701.260869788
4.85,14908024.997658396
5.35,14908471.720890487
5.85,14909064.008732758
6.35,14909826.633064987
6.85,14910786.162080528
7.35,14911970.66160231
7.85,14913409.480554266
8.35,14915133.004656138
8.85,14917172.474702148
9.35,14919559.77400799
9.85,14922327.26087106
10.35,14925507.569979932
10.85,14929133.478766305
11.35,14933237.700639147
11.85,14937852.74974719
12.35,14943010.809156101
12.85,14948743.566838415
13.35,14955082.11081093
13.85,14962056.782243863
14.35,14969697.155625146
