tau_mid,Energy_Thermodynamic,Energy_Hamiltonian
0.15000000000000002,4898.03179463595,4898.248870895962
0.25,3506.716591066142,3507.1476410504256
0.35000000000000003,3035.423384726879,3036.1538024126903
0.45,2818.875543987543,2819.9958095380252
0.55,2702.0385216212326,2703.641555047748
0.65,2632.0573571854284,2634.2371993027996
0.7500000000000001,2586.8478146128173,2589.6989928227877
0.8500000000000001,2555.8809275571516,2559.498138473982
0.9500000000000001,2533.6382672689256,2538.1162081674706
1.05,2517.010476670559,2522.4437483993916
1.1500000000000001,2504.14171594171,2510.624761090802
1.2500000000000002,2493.8708613209574,2501.4979203736048
1.3500000000000003,2485.4423082718686,2494.307385310797
1.4500000000000002,2478.347697901293,2488.544531636879
1.5500000000000003,2472.2351198712086,2483.8571577998873
1.6500000000000001,2466.854882659374,2479.995257179953
1.7500000000000002,2462.025973250689,2476.7774790917606
1.8500000000000003,2457.6146694228696,2474.069742014518
1.9500000000000002,2453.5205288341854,2471.7712234113515
2.05,2449.6669881592006,2469.8049594714994
2.15,2445.9949188892283,2468.111401442935
2.25,2442.4581240186203,2466.6439128070806
2.35,2439.020135770635,2465.3655674678944
2.45,2435.6519022105526,2464.2468368146174
2.5500000000000003,2432.33009171326,2463.263894632686
2.65,2429.0358337628036,2462.397358345102
2.75,2425.7537723652686,2461.631342868608
2.85,2422.4713464563893,2460.952741468086
2.95,2419.1782371780146,2460.3506734846383
3.0500000000000003,2415.8659392319814,2459.8160561468935
3.15,2412.5274254367573,2459.3412695906454
3.25,2409.1568820486946,2458.9198926496883
3.35,2405.7494982585667,2458.546492828024
3.45,2402.301297509539,2458.21645809892
3.5500000000000003,2398.809001404593,2457.925861299078
3.65,2395.2699191708284,2457.6713500846954
3.75,2391.6818572900625,2457.4500570576747
3.85,2388.0430451894154,2457.2595259555906
3.95,2384.3520737686044,2457.097650681065
4.05,2380.6078442581643,2456.962624663868
4.1499999999999995,2376.8095254673867,2456.85289861465
4.25,2372.956517804208,2456.767145049879
4.35,2369.04842290255,2456.7042284249605
4.449999999999999,2365.085017820479,2456.663179836831
4.55,2361.0662330036293,2456.6431754891823
4.6499999999999995,2356.992133426004,2456.643518333895
4.75,2352.862902324614,2456.6636223021164
4.85,2348.6788271303953,2456.702998727853
4.95,2344.440287272608,2456.7612446418625
5.05,2340.147743492914,2456.8380325680837
5.1499999999999995,2335.8017285382643,2456.9331016960045
5.25,2331.4028389421396,2457.046250133751
5.35,2326.9517277843775,2457.177328134161
5.45,2322.449098245646,2457.3262321069806
5.55,2317.895697955095,2457.4928994216552
5.6499999999999995,2313.2923138533743,2457.677303712454
5.75,2308.639767663142,2457.8794507874672
5.85,2303.938911769012,2458.0993749355825
5.95,2299.190625570411,2458.337135702247
6.05,2294.3958121365176,2458.592814955366
6.1499999999999995,2289.5553951823904,2458.866514263926
6.25,2284.6703163375046,2459.1583525610813
6.35,2279.741532676328,2459.468464061532
6.45,2274.7700144124865,2459.7969963290934
6.55,2269.7567428433003,2460.1441085894185
6.6499999999999995,2264.702708432566,2460.50997016869
6.75,2259.608909069209,2460.8947591001406
6.85,2254.476348451829,2461.298660845527
6.95,2249.3060346191587,2461.7218671544438
7.05,2244.0989785681777,2462.164574999028
7.1499999999999995,2238.856193000296,2462.626985629032
7.25,2233.5786911532086,2463.109303701869
7.35,2228.2674857210136,2463.611736491242
7.45,2222.92358783752,2464.134493147351
7.55,2217.54800618094,2464.677784073788
