T,N_2,N_4,N_8,N_16
5.0,1.8547359352623565,1.854801639794049,1.8548179863650667,1.85482206792887
3.333333333333333,1.4128799320342973,1.4129815159132055,1.4130064028916829,1.4130125927843105
2.5,1.1527190715903517,1.1528426286648807,1.1528715227504756,1.1528786209717126
2.0,0.9694732492100869,0.9696187874189752,0.969649311970719,0.9696565745266483
1.6666666666666665,0.8326666859976852,0.8328522689393834,0.8328844261701528,0.832891567674786
1.4285714285714284,0.727192521639125,0.7274573725068609,0.7274933232291186,0.7275003965320828
1.25,0.6438762732178053,0.6442848927745171,0.6443288181913961,0.6443361033915622
1.111111111111111,0.5766641545927763,0.5773121182758122,0.5773703459660845,0.5773782903794421
1.0,0.5213940453539636,0.522415325602636,0.5224966982010151,0.5225059072689269
0.9090909090909091,0.47512369739677685,0.47669915477977154,0.47681557020574106,0.47682682893645656
0.8333333333333333,0.43572161748289334,0.4380883544254754,0.43825542261188793,0.4382697340576121
0.769230769230769,0.40160544823379873,0.40506680853816196,0.4053045899701269,0.405323224645284
0.7142857142857141,0.3715703796479333,0.3765064400293111,0.37684025033942464,0.37686480050289606
0.6666666666666665,0.3446746079435341,0.35155303777438557,0.35201431150903756,0.3520467502498148
0.625,0.3201616691921377,0.32954885290105257,0.330176059538305,0.330218804503093
0.588235294117647,0.2974069688268053,0.30997928916254563,0.310818901824097,0.310874882212893
0.5555555555555555,0.2758804245980281,0.29243560434220656,0.2935431177282879,0.29361584444515193
0.5263157894736841,0.255119993698807,0.27658840524770084,0.27802939971093965,0.27812304331086535
0.5,0.2347126818226882,0.26216852531361023,0.2640197761733371,0.2641392409991274
0.4761904761904763,0.21428076514231062,0.24895303019897227,0.25130365942597943,0.2514546707465944
0.45454545454545453,0.19347171298871021,0.23675483325116858,0.23970750130417323,0.23989669135391145
0.4347826086956522,0.17195076795384615,0.225414894809836,0.22908702628304667,0.2293220240508395
0.41666666666666663,0.14939547028555525,0.2147962854291835,0.21932133488415262,0.21961086291162052
0.4,0.1254916185370309,0.2047796212356917,0.2103083631304986,0.2106623331742221
0.3846153846153846,0.09993030493798725,0.19525951013560439,0.2019613611819309,0.2023909843043634
0.37037037037037035,0.07240576851050895,0.18614176078803607,0.19420612831241973,0.19472401066713366
0.35714285714285715,0.04261386540999709,0.1773411660030783,0.18697881233702823,0.18759907445150242
0.3448275862068965,0.010251026138686023,0.16877972469319868,0.1802241498159235,0.180962539040764
0.3333333333333333,-0.02498642288032895,0.1603852013234244,0.17389405129670177,0.17476805180021968
0.3225806451612903,-0.0634026345589025,0.15208996018480575,0.16794642625462122,0.1689753883046245
0.3125,-0.10530240891485779,0.14382999584668618,0.16234423705919945,0.16354949257522808
0.30303030303030304,-0.1509911601074785,0.13554413526417952,0.15705470291145351,0.15845969538677024
0.2941176470588235,-0.20077476373447145,0.12717338228132022,0.15204863236368985,0.15367904360177684
0.2857142857142857,-0.25495928740098533,0.11866035993556719,0.147299878852334,0.14918375912745116
0.2777777777777778,-0.3138506394320659,0.1099488446132604,0.14278485696424517,0.1449527591394513
0.27027027027027023,-0.3777541657518494,0.10098338466377596,0.13848216049149553,0.14096727332870224
0.2631578947368421,-0.44697419202351757,0.09170897046983788,0.13437221345238795,0.13721050094330578
0.2564102564102564,-0.5218135472871532,0.08207076418455785,0.13043698995844524,0.13366732969310932
0.25,-0.6025730573164787,0.07201387583821417,0.12665976613207067,0.13032408810710622
0.24390243902439027,-0.6895510496300736,0.06148316291201694,0.12302491747457132,0.12716835245881822
0.23809523809523814,-0.7830428465637825,0.05042309608510339,0.11951773213895762,0.12418875318855975
0.23255813953488372,-0.8833402705019489,0.03877761315820769,0.11612427215793827,0.1213748385905663
0.2272727272727273,-0.9907311683515421,0.0264900222061358,0.11283123069971325,0.11871694963611458
0.2222222222222222,-1.1054989432808322,0.013502934662983463,0.10962583840442844,0.11620609166569631
0.2173913043478261,-1.2279221285178687,-0.00024181980393768834,0.10649575334701426,0.11383387660266008
0.21276595744680854,-1.3582739830890782,-0.014803221933778855,0.10342900492134384,0.11159242070398005
0.20833333333333334,-1.4968220994235066,-0.030241094965604242,0.10041388925467652,0.10947428078320848
0.2040816326530612,-1.643828045517245,-0.04661614651235238,0.09743897009368807,0.10747241396215992
