tau_mid,N_2
0.35,14929229.421688553
0.85,14907292.63082952
1.35,14907288.836458182
1.85,14910689.177660525
2.35,14918480.300231572
2.85,14932511.001645237
3.35,14954802.647890098
3.85,14987318.432305032
4.35,15031824.471259302
4.85,15089803.945843937
5.35,15162414.130133051
5.85,15250477.841948628
6.35,15354500.047525166
6.85,15474700.735378021
7.35,15611056.396286953
7.85,15763344.24259187
8.35,15931185.13467113
8.85,16114082.645183276
9.35,16311457.169327416
9.85,16522674.385748645
10.35,16747068.63117278
10.85,16983961.08816288
11.35,17232674.184666965
11.85,17492541.91981215
12.35,17762917.76499458
12.85,18043179.743824158
13.35,18332734.03516282
13.85,18631016.933380812
14.35,18937495.767945167
