tau_mid,N_2
0.35,14914955.322650922
0.85,14823620.200597504
1.35,14698014.304502776
1.85,14522385.448618546
2.35,14301450.77170548
2.85,14041480.176435597
3.35,13749320.048949152
3.85,13431894.31008297
4.35,13095839.589289177
4.85,12747247.825428607
5.35,12391507.963081352
5.85,12033232.780489782
6.35,11676252.079717709
6.85,11323652.602502571
7.35,10977846.917736033
7.85,10640656.981859185
8.35,10313401.895947723
8.85,9996982.788467545
9.35,9691960.747534994
9.85,9398625.52200581
10.35,9117054.593429623
10.85,8847162.538464874
11.35,8588741.901294414
11.85,8341496.077240144
12.35,8105065.842273979
12.85,7879050.08931554
13.35,7663022.158348283
13.85,7456542.324746267
14.35,7259167.298671111
