tau,N_2,N_4,N_8,N_16
0.5,1024.0133864112172,1029.6481057966223,1031.072264439489,1031.429283921327
1.0263157894736843,935.5026767780735,957.6115728675064,963.3923137474615,964.8541958845994
1.5526315789473684,889.1020844927257,935.9269605705822,948.8460040756379,952.1608441522437
2.0789473684210527,842.5694146213038,918.729198063925,941.2454683362115,947.139134808531
2.6052631578947367,794.1027181511575,900.8080108055776,934.9743895514575,944.1428388172619
3.1315789473684212,745.4171439146256,881.2820925290952,928.6973230517361,941.7993120563378
3.6578947368421053,698.1908908906397,860.1940175748784,921.9895733606303,939.6401033085456
4.184210526315789,653.5325800902459,837.8459433535286,914.7031531373553,937.4679004558973
4.7105263157894735,612.0199902325413,814.606460618398,906.796620521782,935.1875725772699
5.2368421052631575,573.8507112451379,790.838283260616,898.2775749137127,932.7499800681222
5.7631578947368425,538.9835750011625,766.8676379310502,889.179079675518,930.1296710517621
6.2894736842105265,507.2431363703021,742.9719792399325,879.5480949804704,927.3144705120528
6.815789473684211,478.38872090815204,719.3772002789299,869.4389656330537,924.2999912002323
7.342105263157895,452.1568264962221,696.2600398452719,858.9094280767343,921.0865309939178
7.868421052631579,428.28552140046384,673.7531787860049,848.0180385779204,917.6772586327975
8.394736842105264,406.52741689788536,651.9514628956838,836.8224689971084,914.0771335943573
8.921052631578947,386.6557104891571,630.9182931070982,825.3783624228432,910.2922538614632
9.447368421052632,368.4661970241717,610.6916320866943,813.7385674407171,906.3294553395828
9.973684210526315,351.77704532750107,591.2893492004208,801.9526395225524,902.1960599310287
10.5,336.42742370124296,572.7138003394256,790.0665376977179,897.8997117836633
