n_TF,cp_pct_error,cv_pct_error
2,-0.004151768686987578,-inf
3,22.471097257650438,-inf
4,-5.721052984021393,-inf
5,5.407504821311796,-inf
6,15.468455843641292,-9512331.299499422
7,-6.459674921175443,20548971.73897817
8,-0.0010379260289348075,-10984162.56718471
9,6.06503861213757,5825129.043402555
10,11.802470527066887,-12280845.775352085
11,-6.192392919546812,-inf
12,-2.021088257571789,-3363355.5292585916
13,1.9797388996814083,7001102.544643615
14,5.829424764945322,2421738.648684818
15,9.543905107714707,-7520645.714165413
16,-5.719585123021035,-7767306.299182613
17,-2.817943091949518,-2001667.81619502
18,-0.00046130008726512155,-inf
19,2.7397843862839935,1410594.7228318003
20,5.408817713173869,4341933.999474504
21,8.011917893872319,-4449367.434932174
22,-5.239649356152382,4553876.52164656
23,-3.109921459688118,-2328265.7808304364
24,-1.0260105651304015,-inf
25,1.0149189484743202,-2427385.8564387495
26,3.0154217361475193,-825219.3174170918
27,4.977808992119217,-inf
28,6.904179738774597,-2568904.725345557
29,-4.803108750477599,435612.637184593
30,-3.17568433196686,-886423.1441008456
31,-1.575165206769338,-675831.0302845894
32,-0.0002594826742973159,1372987.685353412
33,1.5502245425599948,-348694.48877018224
34,3.0773889070329252,-471882.66805996915
35,4.582255201796174,1435911.8605712897
36,6.065772540936639,-inf
37,-4.4188226474673655,245978.70493158503
38,-3.1357906869646732,1496192.1958219092
39,-1.8695326339327267,-379063.2589401691
40,-0.6194073015554229,-767682.327340415
41,0.6151866584283667,-777218.1710369501
42,1.8348141153003175,-inf
43,3.040006528790645,397823.57845280773
44,4.231264631747293,804948.2716706134
45,5.409060845928532,-271481.8020586352
46,-4.083542676612809,823042.0078334679
47,-3.046574137165372,277247.112574621
48,-2.02057978339849,420323.24222556216
49,-1.0052183844491394,-849660.3763125822
50,-0.00016606452665030388,-858285.7931730723
51,0.9948849552980658,-289008.4588387093
52,1.9802274263732507,-291827.2129646917
53,2.956140098938154,126122.424647239
54,3.922888655676715,297184.5524671616
55,4.880726490148361,-900173.868811692
56,-3.7910040674006003,-inf
57,-2.935793651492072,-229173.27078880198
58,-2.0880527809136127,153949.32802428084
59,-1.247589062631542,232957.53842824642
60,-0.41421826269633166,-470148.6895293448
61,0.4122362034901161,473849.65664111014
62,1.231943756284188,-477918.7751184995
63,2.045066959134691,-481756.81509489135
64,2.85176198550759,161721.50389240723
65,3.652178981525195,-81640.429453608
66,4.4464621727915485,-493091.6880285148
67,-3.5348120373632432,82685.41708375368
68,-2.8175870693495164,-500505.6512601563
69,-2.105616787653054,503971.74239869794
70,-1.3987872335370857,-127027.84050526211
71,-0.6969887315909583,-102365.01509349879
72,-0.00011534010174789717,102882.68563263191
73,0.6919352519012674,103595.38930688829
74,1.379261758358877,260908.06969429128
75,2.061959610526841,-525631.4980713389
76,2.740121148070292,-66227.93720864755
77,3.4138355314910784,-76170.37112379998
78,4.083189146786013,53493.9243222027
79,-3.3092932251656877,67320.48303886325
80,-2.69924990763681,542666.877962194
81,-2.09300758034027,-78121.24115234271
82,-1.490496097720028,-68788.71075730376
83,-0.8916474259425464,138112.56291909146
84,-0.29639549895741835,138942.68822311837
85,0.2953236486092864,139767.88678870717
86,0.8835722151085889,-140788.2452679959
87,1.4684105342014213,-94435.89857296566
88,2.0498972366982997,-284729.5526994697
89,2.6280893475196616,-286342.2202767325
90,3.203042195271931,47874.308838691264
91,3.774809685049789,-72460.15025726664
92,-3.1096591026197427,290926.61023645743
93,-2.5845034439977286,-inf
94,-2.0621636672440817,-98157.65920272007
95,-1.542594987320126,59046.721694050684
96,-1.0257537057037935,-74421.51168660459
97,-0.5115974630832559,-74807.60504141524
98,-8.473822818460102e-05,150083.42653604966
99,0.5088248298014472,-inf
100,1.0151705684541157,303316.37930135004
101,1.5189908574154778,76132.42645666523
102,2.020323103982457,-27957.778130144117
103,2.5192037237143734,-102744.68297672001
104,3.015668435141296,38578.16020051345
105,3.509752061582584,-155554.6809584371
