n,E_f_T,E_B_T,sgn_T,E_f_H,E_B_H,sgn_H
0,0.0,0.0,1.0,0.0,0.0,1.0
1,1.0819767068293018,1.0819767068181996,0.9999999999777955,1.0904296498514054,1.0904296498389154,0.99999999997502
2,2.3867368797558797,2.0094202646481207,0.47018303203920375,2.5582848443938055,2.1338036523975767,0.4278586546910784
3,3.8682596958938826,2.805295375107874,0.11932210932939352,4.224998012549059,3.0291631516647994,0.09147681545907112
4,5.508380718399763,3.4950155432422743,0.01783254089883401,6.0701341628681735,3.8050983408159995,0.010779903728528873
5,7.291578686263732,4.107371366490753,0.0017148757678731568,8.07623187671514,4.493998641970538,0.0007735916021039022
6,9.206688939045193,4.668716629652181,0.00011438454105518654,10.230730911094284,5.125512063027145,3.6784363935676875e-05
7,11.245328101772143,5.199343325568151,5.60433836337948e-06,12.524199969162101,5.722467095932611,1.236203279967155e-06
8,13.400376410643842,5.71284441139852,2.1022993040941052e-07,14.948629316642762,6.300155817491776,3.0763189793033524e-08
9,15.665781555895817,6.217379580775172,6.211869433944992e-09,17.497210105051234,6.867757883040509,5.852953969905878e-10
10,18.036451031733236,6.717449548787612,1.47380569580358e-10,20.164213265368332,7.430336597054504,8.699519369947737e-12
11,20.50799134423187,7.2153815843023485,2.845678694498279e-12,22.944696116929293,7.990510137008583,1.0255553277823904e-13
12,23.076490947460112,7.712321294306434,4.517017792212647e-14,25.834258170561068,8.549567310763178,9.698582766699837e-16
13,25.738437554423395,8.208811681420514,5.942380091345628e-16,28.82894810339476,9.10811899626652,7.425154255588059e-18
14,28.49068643016039,8.705102649564367,6.523193865702514e-18,31.92522808859888,9.666446335428354,4.637328070686346e-20
15,31.33041274594461,9.201306554196265,6.01038902689131e-20,35.11992019385613,10.224675728139239,2.378293263925966e-22
16,34.25504841345628,9.69747296579726,4.672625646164639e-22,38.410135319806756,10.78286294119036,1.0075256510605284e-24
17,37.2622303828507,10.193623417720232,3.079688026001901e-24,41.79321503537548,11.341032199603703,3.544623113195352e-27
18,40.34977280156227,10.689767143290396,1.7284086009300818e-26,45.26670025642599,11.899193890870137,1.0407639030794044e-29
19,43.515653840131556,11.185908057953496,8.293533646857864e-29,48.82831642481644,12.457352419866123,2.5620173254151866e-32
20,46.75800306443988,11.682047808037053,3.415170334158468e-31,52.47595930216331,13.015509638710125,5.309931462314906e-35
21,50.075083773037925,12.178187077793721,1.2110826096616895e-33,56.20767509933611,13.573666317186376,9.301874783573094e-38
22,53.465273136055195,12.674326149308966,3.7105101514414804e-36,60.02163813273054,14.131822772641026,1.3823334812245736e-40
23,56.92704586834906,13.170465141598696,9.851829492997804e-39,63.91613245656114,14.689979138966972,1.7486645171702976e-43
24,60.458963947951354,13.666604101914002,2.2733832051165232e-41,67.88954029611371,15.248135469321692,1.8891077433638642e-46
25,64.05967095730603,14.16274304979481,4.571714399660678e-44,71.94033568163772,15.806291785687602,1.7481913947579995e-49
26,67.72788766085114,14.658881990570192,8.032437492536156e-47,76.06707947312597,16.364448094059906,1.389803093225934e-52
