tau_mid,Energy_Thermodynamic,Energy_Hamiltonian
1.5,938.4511815006845,954.9473936755012
2.5,904.2756911367851,948.4297776180734
3.5,866.4632488585412,949.3864894719562
4.5,823.8847139245427,954.2258503071366
5.5,778.8513966519604,962.9158868763494
6.5,733.5440249583953,975.6708613216157
7.5,689.5357492485746,992.554389055077
