tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N0,Energy_H_N0
7.025,32864.96219698445,33372.570878322025,33368.11661782734,33368.11661782734
7.075,32857.478376099156,33372.21712858328,33367.64996216265,33367.64996216265
7.125,32849.95917540653,33371.87546807119,33367.19310675651,33367.19310675651
7.175,32842.404414462486,33371.54565456493,33366.74578056708,33366.74578056708
7.225,32834.813917435364,33371.22745004056,33366.30772293998,33366.30772293998
7.2749999999999995,32827.187532552285,33370.9206404413,33365.878674853826,33365.878674853826
7.324999999999999,32819.525092797536,33370.6249957418,33365.45839769581,33365.45839769581
7.374999999999999,32811.826466539496,33370.34032141513,33365.04664681219,33365.04664681219
7.424999999999999,32804.09151230583,33370.06641246755,33364.643200304825,33364.643200304825
7.474999999999999,32796.32010422748,33369.80307931267,33364.24782881919,33364.24782881919
7.524999999999999,32788.51211989439,33369.55013542849,33363.86032560747,33363.86032560747
7.574999999999998,32780.66745201586,33369.3074092289,33363.480482239785,33363.480482239785
7.624999999999998,32772.785988788484,33369.07472409074,33363.108092739305,33363.108092739305
7.674999999999998,32764.867640755663,33368.851925700685,33362.74297146374,33362.74297146374
7.724999999999998,32756.912309254603,33368.6388499387,33362.384921812925,33362.384921812925
7.774999999999998,32748.91991040734,33368.43534730996,33362.03377191724,33362.03377191724
7.8249999999999975,32740.890369123186,33368.24127684855,33361.689336788666,33361.689336788666
7.874999999999997,32732.8236093014,33368.05649613994,33361.35145806976,33361.35145806976
7.924999999999997,32724.7195675404,33367.88087529665,33361.019955083386,33361.019955083386
7.974999999999997,32716.578172127283,33367.71427554459,33360.694679445536,33360.694679445536
8.024999999999997,32708.39939198828,33367.5565991475,33360.37547617341,33360.37547617341
8.074999999999998,32700.18314288612,33367.40769374245,33360.06218901261,33360.06218901261
8.124999999999996,32691.929403202124,33367.26747044309,33359.754677238314,33359.754677238314
8.174999999999995,32683.63812441768,33367.1358125295,33359.452800195366,33359.452800195366
8.224999999999996,32675.309269261314,33367.01261436724,33359.15642061387,33359.15642061387
8.274999999999997,32666.94280895208,33366.89777860519,33358.865400734976,33358.865400734976
8.324999999999996,32658.538713588474,33366.79120636673,33358.57962157066,33358.57962157066
8.374999999999995,32650.096960977444,33366.69280627034,33358.298954107355,33358.298954107355
8.424999999999995,32641.6175323877,33366.60249009823,33358.02326940155,33358.02326940155
8.474999999999996,32633.100415082987,33366.52017539082,33357.752463464756,33357.752463464756
8.524999999999995,32624.54559092284,33366.44577379606,33357.4864118896,33357.4864118896
8.574999999999994,32615.95306046528,33366.37921571846,33357.2250124672,33357.2250124672
8.624999999999995,32607.32281748592,33366.32042427083,33356.968149163644,33356.968149163644
8.674999999999995,32598.65485743451,33366.26932392036,33356.715724269365,33356.715724269365
8.724999999999994,32589.94918730699,33366.2258505976,33356.46762971446,33356.46762971446
8.774999999999993,32581.20581365017,33366.189939428354,33356.223773034,33356.223773034
8.824999999999994,32572.424743679403,33366.16152587789,33355.98405795939,33355.98405795939
8.874999999999995,32563.605990456806,33366.14055105762,33355.74838609477,33355.74838609477
8.924999999999994,32554.749570656175,33366.12695944247,33355.51667315937,33355.51667315937
8.974999999999993,32545.85550199259,33366.120696241334,33355.2888252575,33355.2888252575
9.024999999999993,32536.923800056007,33366.12170415135,33355.06476324195,33355.06476324195
9.074999999999994,32527.954504462854,33366.12995018011,33354.84439715861,33354.84439715861
9.124999999999993,32518.947620220042,33366.14536551804,33354.62765589986,33354.62765589986
9.174999999999992,32509.903191411257,33366.1679211144,33354.41444682243,33354.41444682243
9.224999999999993,32500.821246323492,33366.197571400786,33354.204703952775,33354.204703952775
9.274999999999993,32491.701809777842,33366.23426693095,33353.998352038034,33353.998352038034
9.324999999999992,32482.5449361356,33366.27798827947,33353.79531246935,33353.79531246935
9.374999999999991,32473.350647756542,33366.32868285313,33353.59552012021,33353.59552012021
9.424999999999992,32464.118992703723,33366.38632415142,33353.39890412401,33353.39890412401
9.474999999999993,32454.85001006105,33366.45087614926,33353.20540027935,33353.20540027935
9.524999999999991,32445.543747404987,33366.52231125178,33353.01493555285,33353.01493555285
9.57499999999999,32436.200251416838,33366.60060065051,33352.82745654045,33352.82745654045
9.624999999999991,32426.819569261148,33366.68571574125,33352.642899292594,33352.642899292594
9.674999999999992,32417.40174940534,33366.77762896923,33352.46119322587,33352.46119322587
9.72499999999999,32407.94685417396,33366.87632675682,33352.282292638985,33352.282292638985
9.77499999999999,32398.454927934737,33366.98177676167,33352.106133089685,33352.106133089685
9.82499999999999,32388.926032749678,33367.09396457678,33351.93266320879,33351.93266320879
9.874999999999991,32379.360221329473,33367.21286588835,33351.76182428563,33351.76182428563
9.92499999999999,32369.757559646045,33367.338469771195,33351.59356818679,33351.59356818679
9.974999999999989,32360.118103798544,33367.47075485668,33351.42783601018,33351.42783601018
10.02499999999999,32350.44191301464,33367.60970272791,33351.2645839759,33351.2645839759
10.07499999999999,32340.72906652612,33367.75531533655,33351.10376353323,33351.10376353323
10.12499999999999,32330.97960809934,33367.90755778847,33350.94532028032,33350.94532028032
10.174999999999988,32321.193629817044,33368.066444781456,33350.78921367104,33350.78921367104
10.224999999999989,32311.37117890888,33368.23194446918,33350.63539328494,33350.63539328494
10.27499999999999,32301.51233650406,33368.404059741726,33350.48382009865,33350.48382009865
10.324999999999989,32291.617173710227,33368.58278289648,33350.33444432051,33350.33444432051
10.374999999999988,32281.685758020958,33368.76810224639,33350.18723400081,33350.18723400081
10.424999999999988,32271.71816765818,33368.9600169445,33350.042130998874,33350.042130998874
10.474999999999989,32261.71447804938,33369.15852301616,33349.899110029,33349.899110029
10.524999999999988,32251.674761902133,33369.36361343279,33349.75812766128,33349.75812766128
