Temperature,N_2,N_4,N_8,N_0
16.0,0.897479407041258,0.8974785170526899,0.8974782561706466,0.8974781657753512
10.666666666666666,0.5393321284399026,0.5393327348558927,0.539332627069981,0.539332568132691
8.0,0.39001666176420985,0.3900216009845259,0.3900217898345087,0.39002175939381123
6.4,0.3067614792289896,0.30677760403311366,0.30677851319809635,0.3067785385204479
5.333333333333333,0.25326215952600906,0.2533026427069199,0.25330509248240707,0.2533052251908928
4.571428571428571,0.2158214555240771,0.2159088156438669,0.21591422010169298,0.21591455319821834
4.0,0.18806174102867954,0.18823146026770118,0.18824205064331181,0.18824273260831834
3.5555555555555554,0.16658561487498263,0.16689032193093953,0.16690941389085384,0.1669106677064672
3.2,0.14940228251474763,0.14991645284328114,0.14994876658489376,0.14995090350508689
2.909090909090909,0.1352567510858702,0.13608199027647278,0.1361339649051315,0.13613741859924047
2.6666666666666665,0.12330887008951977,0.1245796503455378,0.12465986437790562,0.12466520656943321
2.4615384615384617,0.11296582629171825,0.11485579540643885,0.11497530468623154,0.11498327686451376
2.2857142857142856,0.10378847011219478,0.1065170193622369,0.10668995644971728,0.10670149822235107
2.1333333333333333,0.09543594269809547,0.09927559906564966,0.09951940543011005,0.09953573492355644
2.0,0.08763149569192902,0.0929152309265919,0.0932515602806583,0.0932740553855896
1.8823529411764706,0.08014052085333387,0.08726978336044813,0.08772463857960065,0.08775511138513684
1.7777777777777777,0.07275559796482703,0.08220870390098425,0.08281335231774137,0.08285386876165866
1.6842105263157894,0.06528691556895974,0.07762746263234657,0.07841883877531546,0.07847193826921284
1.6,0.05755471500495332,0.07344062873860821,0.07446218674696865,0.07453077077865601
1.5238095238095237,0.049384755289425084,0.06957725392106877,0.07087946975153936,0.07096696991622448
1.4545454545454546,0.04060380123065552,0.0659770834798357,0.0676183331154869,0.06772871284782886
1.391304347826087,0.03103799962025987,0.06258826803909832,0.06463554148145012,0.0647732926517725
1.3333333333333333,0.020509475575969556,0.05936525815150235,0.06189475718177855,0.06206516261100769
1.28,0.008835996895641074,0.05626734659381327,0.05936548768340799,0.05957448622211814
1.2307692307692308,-0.0041714195646942245,0.053257521223775986,0.05702213683079462,0.05727606575787068
1.1851851851851851,-0.018708328993297982,0.050301570200104104,0.05484171575672408,0.05514843762516975
1.1428571428571428,-0.0349786145973776,0.047367736504628555,0.05280553534112987,0.053173238039016725
1.103448275862069,-0.05319411512136903,0.044424926455832243,0.050896446266151175,0.0513346436522901
1.0666666666666667,-0.07357589382398146,0.041444626244810934,0.04910038512167375,0.04961891748011112
1.032258064516129,-0.0963535230936126,0.03839721769786738,0.04740302694293568,0.04801417991220951
1.0,-0.12176644112057984,0.035255245535820726,0.0457943090043962,0.04650995407104492
0.9696969696969697,-0.1500627688158449,0.03199044992788404,0.044262600274150826,0.045097088261693716
0.9411764705882353,-0.18150095993662108,0.028574756462954973,0.042799152127552954,0.04376753218472004
0.9142857142857143,-0.21634785775900128,0.024979589968252183,0.04139520371428262,0.042514102794229985
0.8888888888888888,-0.25488028560974635,0.021177060878049814,0.040042808793479344,0.041330440878868106
0.8648648648648649,-0.2973836227564949,0.01713647968679652,0.03873499631809136,0.0402109044007957
0.8421052631578947,-0.3441532656418858,0.012830788857632433,0.03746459447445522,0.03915045268535614
0.8205128205128205,-0.39549232694016717,0.008226796123597524,0.03622608139595577,0.0381444824539125
0.8,-0.4517129050800577,0.003294823513133451,0.03501247379987035,0.03718896508216858
0.7804878048780488,-0.5131357495898282,-0.0019973598554010093,0.033818596333470126,0.03628026497885585
0.7619047619047619,-0.5800889726837981,-0.007682811650149233,0.03264025313136371,0.035414939215779304
0.7441860465116279,-0.6529090761223739,-0.013796187041087614,0.03146978379997199,0.0345900304749608
0.7272727272727273,-0.7319384066101047,-0.020371096029656473,0.03030490917643183,0.0338029749751091
0.7111111111111111,-0.8175300229471577,-0.027444352555739897,0.029138664693073225,0.033050988502800464
0.6956521739130435,-0.9100366072160264,-0.03505285929211095,0.02796762574120512,0.03233203724622726
0.6808510638297872,-1.0098261572874978,-0.04323517580656662,0.026787062030458764,0.03164398172199726
0.6666666666666666,-1.1172642191050575,-0.052030608013272285,0.02559141340786591,0.030985012435913086
0.6530612244897959,-1.2327267373506723,-0.06147804173759905,0.024377610709390866,0.030353221656382084
0.64,-1.3565926879009567,-0.07162317405072827,0.023140462886658497,0.02974730357527733
0.6274509803921569,-1.4892473120360428,-0.08250357632068335,0.02187436267484736,0.02916550165861845
0.6153846153846154,-1.631075978369877,-0.09416974095365731,0.0205777959695959,0.028606721138954162
0.6037735849056604,-1.7824740050582244,-0.10666167902887755,0.01924405866362904,0.028069684948027133
0.5925925925925926,-1.9438314826517977,-0.12002873999800358,0.017868029310506246,0.027553068655729294
0.5818181818181818,-2.1155537074454513,-0.13432029563625292,0.016447255125067384,0.02705625902861357
0.5714285714285714,-2.29803164129192,-0.14958153018874581,0.01497690519161988,0.02657760362625122
0.5614035087719298,-2.4916761483648897,-0.16586724930005367,0.013449297566978567,0.026116974990069868
0.5517241379310345,-2.696883570737332,-0.1832271824568001,0.011864484053940395,0.025673007851839066
0.5423728813559322,-2.9140633736284256,-0.20171509879860386,0.010213652637894484,0.02524502213448286
0.5333333333333333,-3.1436206734293957,-0.22138697426897125,0.008496072937123244,0.024832642078399657
0.5245901639344263,-3.3859590386448035,-0.24229428510192846,0.006701995899406756,0.024434675328433512
0.5161290322580645,-3.6414833532496313,-0.2645002726592269,0.004827545469683537,0.024050730204582215
0.5079365079365079,-3.9106012335587454,-0.28805830021100776,0.0028746941357690957,0.023680397567152976
0.5,-4.193716867554188,-0.3130320072129369,0.0008245647117495537,0.023322930908203126
0.49230769230769234,-4.491229407076007,-0.3394762448800793,-0.0013127113136033586,0.022977765947580338
0.48484848484848486,-4.803542641851339,-0.36746222123054323,-0.0035553865151960054,0.022644469356536866
0.47761194029850745,-5.131056487216674,-0.3970468286072493,-0.005901951869747427,0.0223227949231863
0.47058823529411764,-5.474163757542928,-0.4282978788009554,-0.00835869474899373,0.022012031984329224
0.463768115942029,-5.83326392681002,-0.4612773229499904,-0.010934275084779801,0.021711705181002617
0.45714285714285713,-6.208741939091706,-0.49606137985931126,-0.013631421360914829,0.02142187610268593
0.4507042253521127,-6.600988102741362,-0.5327051811933375,-0.01645926440853982,0.021141587759554385
0.4444444444444444,-7.010389688556246,-0.5712933649650542,-0.019420685252244583,0.02087103223800659
0.4383561643835616,-7.437321470255594,-0.611888472518972,-0.02252068177737965,0.020609500014781953
0.43243243243243246,-7.882163365444602,-0.6545606780269373,-0.025779068318370263,0.020356997203826905
0.4266666666666667,-8.345283060890097,-0.6993850490846398,-0.029178335695632995,0.020112703554332256
0.42105263157894735,-8.827053017272789,-0.74644506008483,-0.032745813554385675,0.019876790976524353
0.4155844155844156,-9.327832789508172,-0.7958039323303939,-0.03647989243056072,0.019649026238918305
0.41025641025641024,-9.847975717691678,-0.8475438037712476,-0.04039083339231438,0.019428605139255525
0.4050632911392405,-10.387838073133395,-0.9017418269175883,-0.04447880765436457,0.019215732826292516
