tau_fd,Energy_FD
0.1,1129.7061660481404
0.6,872.9991792229495
1.1,844.79975166757
1.6,828.7609744633219
2.1,813.6912232748577
2.6,797.6808485104129
3.1,780.4184805984069
3.6,762.0183618735771
4.1,742.7260040544734
4.6,722.8182074310571
5.1,702.5620127278626
5.6,682.1965054930133
6.1,661.925454160044
6.6,641.9157953555878
7.1,622.2993902085236
7.6,603.1765067001088
8.1,584.6200504674634
8.6,566.6799336090917
9.1,549.3872216694963
