tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N4,Energy_H_N4,Energy_T_N8,Energy_H_N8,Energy_T_N0,Energy_H_N0
1.390625,890526955.5273438,944343667.0655218,928880651.2148438,942914280.8959975,939269252.1132812,942816897.5610071,942810362.0546875,942810362.0546875
1.421875,888352784.3554688,944478039.2325412,928262115.0390625,942923786.8199129,939109210.6953125,942817460.4424781,942810309.9375,942810309.9375
1.453125,886146654.7070312,944620489.0618981,927631120.5390625,942933934.1864138,938945705.2070312,942818071.8282087,942810260.6484375,942810260.6484375
1.484375,883909469.0234375,944771307.9969525,926987729.9414062,942944731.174929,938778734.6210938,942818726.9916779,942810215.2695312,942810215.2695312
1.515625,881642083.6953125,944930736.9964691,926332036.8164062,942956216.9128524,938608308.0507812,942819431.3124475,942810171.6132812,942810171.6132812
1.546875,879345367.28125,945099028.9688989,925664132.5273438,942968427.4242334,938434438.2070312,942820193.712053,942810132.0664062,942810132.0664062
1.578125,877020190.0859375,945276438.2477617,924984052.984375,942981341.3535415,938257122.6835938,942821007.8519053,942810092.9648438,942810092.9648438
1.609375,874667407.2109375,945463202.8278567,924291952.28125,942995056.9141078,938076340.1601562,942821848.3029895,942810057.2617188,942810057.2617188
1.640625,872287890.0898438,945659578.8428996,923587865.2734375,943009549.9479668,937892156.7109375,942822777.3944825,942810023.546875,942810023.546875
1.671875,869882479.875,945865790.6666938,922871891.59375,943024861.5012375,937704532.671875,942823751.1141053,942809991.8476562,942809991.8476562
1.703125,867452050.71875,946082099.9633597,922144131.5195312,943041032.510177,937513486.2890625,942824783.5772897,942809960.9414062,942809960.9414062
1.734375,864997431.2695312,946308720.8712152,921404656.3125,943058073.4619032,937319012.7773438,942825865.6694704,942809932.6367188,942809932.6367188
1.765625,862519457.421875,946545877.6475517,920653564.1992188,943076021.6296003,937121151.0429688,942827032.1510944,942809905.1171875,942809905.1171875
1.796875,860018995.109375,946793830.3932,919890935.2070312,943094894.8973408,936919883.9023438,942828261.2944491,942809879.984375,942809879.984375
1.828125,857496857.0390625,947052784.1326272,919116892.5859375,943114754.720125,936715204.3515625,942829541.5252004,942809855.390625,942809855.390625
1.859375,854953865.0820312,947322957.5154011,918331484.0195312,943135584.3331004,936507145.2617188,942830901.3290191,942809832.3945312,942809832.3945312
1.890625,852390831.2265625,947604562.3055733,917534840.734375,943157451.9770355,936295697.2421875,942832326.5868046,942809809.8828125,942809809.8828125
1.921875,849808566.4648438,947897813.6118058,916727038.9492188,943180368.7455574,936080883.8007812,942833836.2291327,942809789.5742188,942809789.5742188
1.953125,847207901.3398438,948202953.3603749,915908193.3242188,943204384.5791987,935862694.890625,942835415.3265617,942809768.7539062,942809768.7539062
1.984375,844589546.40625,948520094.4560732,915078344.7578125,943229472.8068975,935641143.9609375,942837072.5397654,942809750.34375,942809750.34375
2.015625,841954370.65625,948849532.7205403,914237653.546875,943255729.0944244,935416236.8515625,942838808.7955354,942809731.7304688,942809731.7304688
2.046875,839303101.109375,949191410.7265166,913386206.7070312,943283173.0562502,935187988.0664062,942840633.6844673,942809714.96875,942809714.96875
2.078125,836636498.640625,949545915.0259249,912524068.8828125,943311800.5388262,934956398.9648438,942842543.4795421,942809698.1289062,942809698.1289062
2.109375,833955343.4765625,949913260.7652308,911651400.1015625,943341705.366705,934721475.1835938,942844538.6931634,942809682.1484375,942809682.1484375
2.140625,831260348.9921875,950293594.0043517,910768218.5351562,943372834.1160704,934483218.0742188,942846615.44362,942809667.0742188,942809667.0742188
2.171875,828552241.9257812,950687082.8242799,909874687.1835938,943405282.6408123,934241670.8945312,942848812.0666318,942809652.765625,942809652.765625
2.203125,825831774.6796875,951093932.21453,908970884.6289062,943439058.909659,933996790.109375,942851079.2520622,942809638.5585938,942809638.5585938
2.234375,823099625.8085938,951514270.0358882,908056923.171875,943474205.3182174,933748615.9453125,942853452.1457715,942809625.5703125,942809625.5703125
2.265625,820356512.046875,951948275.8544428,907132897.1484375,943510745.129978,933497141.3359375,942855918.0944118,942809613.109375,942809613.109375
2.296875,817603109.5039062,952396090.4095908,906198910.984375,943548711.6043801,933242405.375,942858510.9971715,942809600.96875,942809600.96875
2.328125,814840086.3320312,952857853.3353382,905255072.6328125,943588141.2277851,932984382.1484375,942861199.0258394,942809589.140625,942809589.140625
2.359375,812068127.46875,953333732.437126,904301492.9921875,943629073.1422477,932723065.7265625,942863970.4495541,942809577.3984375,942809577.3984375
2.390625,809287857.0625,953823833.0602422,903338199.4765625,943671458.890371,932458512.421875,942866876.3922899,942809566.46875,942809566.46875
2.421875,806499925.53125,954328300.0955222,902365456.890625,943715497.5205789,932190726.5703125,942869915.3968028,942809556.8125,942809556.8125
2.453125,803704994.4140625,954847300.988405,901383274.46875,943761120.8668752,931919657.609375,942873030.393233,942809546.703125,942809546.703125
2.484375,800903592.703125,955380855.0255715,900391663.03125,943808261.6051121,931645381.09375,942876291.814304,942809536.8203125,942809536.8203125
