tau,N_2,N_4,N_6,N_8,N_10,N_12,N_14,N_16,N_18,N_20,N_22,N_24,N_26,N_28,N_30,N_32,N_34,N_36,N_38,N_40,N_42,N_44,N_46,N_48,N_50,N_52,N_54,N_56,N_58,N_60,N_62,N_64,N_66,N_68,N_70,N_72,N_74,N_76,N_78,N_80,N_82,N_84,N_86,N_88,N_90,N_92,N_94,N_96,N_98,N_100
0.25,4.01556420233463,4.019496980934721,4.020227127937207,4.020482816729417,4.020601188238886,4.020665495212721,4.020704272467693,4.020729441274523,4.020746697324507,4.020759040674619,4.020768173464628,4.020775119761268,4.020780525649808,4.020784815079537,4.02078827558717,4.020791107768806,4.020793455018276,4.020795422040786,4.020797086735152,4.020798508026597,4.020799731153813,4.020800791313776,4.020801716222431,4.020802527944732,4.020803244222901,4.020803879454246,4.020804445420303,4.020804951837088,4.020805406774884,4.020805816981757,4.020806188135248,4.020806525039881,4.02080683178344,4.020807111861544,4.020807368277688,4.020807603624095,4.020807820147491,4.020808019802928,4.020808204298067,4.020808375129816,4.02080853361479,4.020808680914755,4.020808818057976,4.020808945957215,4.020809065424958,4.020809177186346,4.020809281890211,4.0208093801185045,4.020809472394413,4.020809559189332
0.3351063829787234,3.0049251606867156,3.0102247576639085,3.011210655365598,3.0115560529161796,3.0117159812290186,3.011802871415823,3.01185526874893,3.011889278763831,3.01191259688718,3.0119292766872987,3.0119416181126706,3.011951004926652,3.011958310163569,3.0119641067004883,3.0119687830861883,3.0119726103888116,3.0119757823796776,3.0119784405501115,3.0119806901676487,3.0119826108604286,3.011984263761613,3.011985696434661,3.0119869463336335,3.011988043276157,3.0119890112383594,3.011989869676209,3.0119906345108527,3.0119913188721816,3.0119919336661076,3.01199248801176,3.011992989581595,3.0119934448683106,3.0119938593960205,3.0119942378886138,3.0119945844049334,3.011994902448044,3.011995195054118,3.0119954648651635,3.011995714188876,3.011995945048143,3.0119961592222086,3.0119963582810567,3.0119965436142646,3.0119967164553203,3.011996877902199,3.011997028934844,3.0119971704300696,3.01199730317432,3.0119974278746158,3.011997545167992
0.42021276595744683,2.405723450892233,2.412413764393253,2.413661626716773,2.414099042365732,2.4143016200782954,2.414411693284109,2.4144780745035845,2.414521162715717,2.4145507057843525,2.4145718387319337,2.4145874752408947,2.4145993683831493,2.41460862422068,2.4146159685542026,2.4146218936585138,2.414626742969274,2.4146307619914777,2.4146341299935807,2.4146369803495875,2.414639413948903,2.4146415082480095,2.41464332351063,2.414644907191861,2.4146462970713793,2.414647523527613,2.414648611211872,2.4146495802967802,2.4146504474183743,2.4146512263948523,2.414651928780506,2.4146525642966497,2.414653141169804,2.4146536663992597,2.414654145970396,2.414654585025949,2.414654988004466,2.4146553587529205,2.414655700618864,2.4146560165262594,2.4146563090382047,2.4146565804090927,2.414656832628172,2.4146570674561088,2.414657286455795,2.4146574910184246,2.414657682385636,2.4146578616684002,2.4146580298631832,2.41465818786582,2.4146583364834666
0.5053191489361702,2.010033701748004,2.018144029710859,2.0196615720710636,2.020193880085757,2.0204404682884034,2.0205744720382466,2.0206552906603115,2.0207077525400763,2.0207437236376165,2.0207694552518123,2.0207884946488,2.0208029761913147,2.020814246547322,2.0208231894233144,2.0208304042041147,2.0208363090564623,2.0208412029101877,2.0208453040467016,2.0208487748665047,2.0208517382165807,2.0208542884115537,2.0208564988316846,2.0208584272610093,2.0208601197023794,2.020861613146546,2.020862937610625,2.020864117658239,2.020865173546652,2.0208661221019506,2.0208669773935415,2.0208677512588733,2.020868453715227,2.0208690932855204,2.0208696772580543,2.020870211895066,2.0208707026013135,2.02087115406121,2.0208715703510323,2.0208719550312564,2.0208723112229454,2.020872641671251,2.020872948798466,2.020873234748539,2.020873501424596,2.0208737505206806,2.020873983548731,2.02087420186157,2.0208744066725903,2.0208745990726444,2.020874780044605
0.5904255319148937,1.7298084343158544,1.739373043366888,1.7411694321230597,1.7418000574278854,1.7420922797531389,1.742251106236819,1.7423469037059343,1.7424090920749715,1.742451733733501,1.7424822378149796,1.7425048088640793,1.7425219768400337,1.7425353380657056,1.7425459401028258,1.7425544934875843,1.7425614939406384,1.7425672958365237,1.7425721579457032,1.7425762727940992,1.742579786018008,1.7425828094290539,1.742585430021285,1.7425877162993777,1.7425897228012912,1.7425914933809867,1.7425930636250273,1.7425944626547065,1.7425957144859943,1.7425968390670785,1.7425978530779935,1.7425987705526924,1.7425996033672384,1.742600361626057,1.7426010539698706,1.7426016878229522,1.7426022695929866,1.7426028048336482,1.7426032983776314,1.7426037544461201,1.7426041767393454,1.742604568511873,1.742604932635499,1.742605271652027,1.7426055878177453,1.742605883141066,1.742606159414499,1.7426064182419168,1.7426066610618822,1.7426068891676838,1.742607103724588
0.675531914893617,1.5213649010562726,1.5324225289874542,1.534508321913515,1.535241223239873,1.5355809588304903,1.5357656412935408,1.5358770448792212,1.5359493685750307,1.5359989618731469,1.536034439865737,1.5360606918220288,1.536080659871447,1.536096200476779,1.536108531949435,1.536118480660617,1.5361266231566066,1.5361333715978303,1.5361390269547832,1.536143813152658,1.5361478995812181,1.5361514162896737,1.5361544644623073,1.5361571237785294,1.5361594576730333,1.536161517153854,1.5361633436130855,1.5361649709229286,1.5361664270174473,1.5361677350993446,1.5361689145700184,1.53616998175311,1.5361709504623289,1.5361718324507132,1.536172637768801,1.5361733750522155,1.5361740517541358,1.5361746743343947,1.5361752484142137,1.5361757789035315,1.5361762701063353,1.536176725808233,1.5361771493496095,1.5361775436870138,1.5361779114448946,1.5361782549593803,1.5361785763154687,1.5361788773787401,1.5361791598224934,1.5361794251510472,1.5361796747198109
0.7606382978723404,1.3605661276515424,1.3731594298372698,1.375546508264685,1.376386158883879,1.3767755343465558,1.3769872429597483,1.3771149633493651,1.3771978856968727,1.3772547492273393,1.3772954294873916,1.377325531560559,1.37734842852473,1.3773662488643268,1.3773803894542644,1.3773917978095043,1.3774011350106081,1.3774088736579237,1.377415358861698,1.3774208473905967,1.3774255334809895,1.377429566259357,1.3774330617538169,1.377436111333397,1.377438787739569,1.3774411494642538,1.37744324397278,1.3774451101073744,1.3774467799009344,1.3774482799608303,1.3774496325353986,1.3774508563436352,1.3774519672263275,1.3774529786612268,1.377453902173768,1.3774547476668524,1.3774555236874246,1.3774562376433181,1.3774568959806943,1.377457504330054,1.3774580676270245,1.3774585902127825,1.377459075917945,1.3774595281329645,1.3774599498674565,1.377460343800403,1.3774607123228022,1.377461057574033,1.3774613814729737,1.3774616857447242,1.3774619719436203
0.8457446808510638,1.2329870240336345,1.2471619749899419,1.2498634683577026,1.250814834579875,1.2512562149986632,1.25149625224377,1.251641080853245,1.2517351179572198,1.2517996066736137,1.2518457436537225,1.2518798844087937,1.2519058538771666,1.2519260657992228,1.2519421043180046,1.2519550440068614,1.2519656346129302,1.2519744121338947,1.2519817679813305,1.2519879933768476,1.2519933086217006,1.2519978828554867,1.2520018476786297,1.2520053067236534,1.2520083424958472,1.2520110213386362,1.25201339708898,1.252015513803373,1.2520174078150141,1.2520191093033155,1.2520206435035286,1.252022031647795,1.2520232917036713,1.252024438958453,1.2520254864850229,1.2520264455159027,1.2520273257456154,1.2520281355766394,1.2520288823206673,1.2520295723642203,1.2520302113056507,1.2520308040690462,1.252031354999383,1.2520318679423732,1.2520323463117589,1.2520327931462518,1.2520332111579133,1.2520336027733987,1.2520339701692569,1.2520343153022364,1.252034639935394
0.9308510638297872,1.1294751112115473,1.14528037300616,1.1483105766192336,1.1493790942589521,1.1498750733496192,1.1501448689627707,1.1503076749892012,1.1504133938627716,1.1504858978154324,1.1505377711698201,1.150576157870401,1.1506053576839999,1.1506280841456045,1.150646118230464,1.1506606680697626,1.1506725766185546,1.1506824465222905,1.1506907178697774,1.1506977181047215,1.1507036949324725,1.1507088385345297,1.1507132968844638,1.150717186509207,1.150720600180336,1.1507236124969524,1.1507262839957186,1.1507286642159344,1.150730794012611,1.1507327073212315,1.1507344325178703,1.1507359934773271,1.150737410403544,1.1507387004866356,1.1507398784267067,1.1507409568544504,1.1507419466711386,1.1507428573251826,1.1507436970384417,1.150744472992447,1.1507451914824551,1.1507458580455308,1.150746477567541,1.150747054372942,1.150747592300447,1.1507480947670583,1.1507485648224616,1.1507490051954117,1.1507494183334204,1.1507498064368387,1.150750171488213
1.0159574468085106,1.0439425205277462,1.06142878991859,1.0648030767697092,1.0659946257932107,1.0665480152856959,1.0668491208027158,1.067030848044738,1.0671488645903973,1.0672298075627447,1.0672877211821423,1.0673305790818994,1.0673631807976178,1.067388555449752,1.067408691235492,1.0674249369053954,1.067438233557082,1.0674492540160292,1.0674584896303758,1.0674663059887333,1.0674729796561508,1.067478722974275,1.0674837011603409,1.0674880443215093,1.067491856041866,1.0674952196155598,1.0674982026356084,1.0675008604160565,1.0675032385745427,1.0675053750026942,1.0675073013847336,1.0675090443789266,1.0675106265447751,1.0675120670766252,1.0675133823885359,1.067514586583904,1.0675156918350825,1.0675167086921806,1.0675176463357534,1.0675185127847342,1.067519315068448,1.067520059369626,1.0675207511438727,1.0675213952199223,1.0675219958841276,1.0675225569519566,1.0675230818287322,1.0675235735614217,1.0675240348829558,1.0675244682502831,1.067524875877149
