T,N_16
2.0,0.9060309282276876
1.4285714285714286,0.7848823290763911
1.1111111111111112,0.6740513328201576
0.9090909090909091,0.5754970557657298
0.7692307692307694,0.4915573604204471
0.6666666666666666,0.42222455334132786
0.588235294117647,0.3660124919246551
0.5263157894736842,0.3209346977841037
0.47619047619047616,0.28507030816782186
0.4347826086956522,0.25679397296332984
0.4,0.23482055844041538
0.37037037037037035,0.2181706953537623
0.3448275862068966,0.20611325647372955
0.3225806451612903,0.19810901498438604
0.30303030303030304,0.19376351160479646
0.2857142857142857,0.19279017965143846
0.27027027027027023,0.194982354830183
0.25641025641025644,0.20019230775411703
