tau,N_200
5.25,4612.23469185173
5.916666666666667,4612.119988613739
6.583333333333333,4612.061496758446
7.25,4612.031580034308
7.916666666666667,4612.016262377588
8.583333333333334,4612.008424759696
9.25,4612.004427491096
9.916666666666666,4612.002406438656
10.583333333333334,4612.001406283486
11.25,4612.000937625884
11.916666666666666,4612.000750145134
12.583333333333334,4612.000716277037
13.25,4612.00077152674
13.916666666666666,4612.00088383185
14.583333333333334,4612.001037833931
15.25,4612.001226802816
