tau,N_192
5.25,1368.1508466350228
5.408730158730159,1368.1285085180002
5.567460317460317,1368.1095027477288
5.726190476190476,1368.0933256538465
5.884920634920635,1368.0795514420608
6.0436507936507935,1368.0678196934193
6.2023809523809526,1368.0578249883968
6.361111111111111,1368.0493082653204
6.51984126984127,1368.0420496013128
6.678571428571429,1368.0358621652272
6.837301587301587,1368.0305871401201
6.996031746031746,1368.026089450757
7.154761904761905,1368.0222541618002
7.313492063492063,1368.0189834364312
7.472222222222222,1368.0161939645318
7.630952380952381,1368.013814785226
7.7896825396825395,1368.0117854413231
7.948412698412699,1368.0100544136028
8.107142857142858,1368.0085777914403
8.265873015873016,1368.0073181433086
8.424603174603174,1368.0062435565258
8.583333333333334,1368.0053268204692
8.742063492063492,1368.00454473151
8.90079365079365,1368.003877501304
9.05952380952381,1368.0033082529076
9.218253968253968,1368.0028225915567
9.376984126984127,1368.002408238966
9.535714285714286,1368.0020547216754
9.694444444444445,1368.0017531054175
9.853174603174603,1368.0014957686674
10.011904761904763,1368.0012762095816
10.170634920634921,1368.0010888813715
10.329365079365079,1368.0009290519233
10.488095238095237,1368.000792684072
10.646825396825397,1368.000676333496
10.805555555555555,1368.0005770616199
10.964285714285714,1368.0004923613294
11.123015873015873,1368.0004200936007
11.281746031746032,1368.000358433444
11.44047619047619,1368.000305823789
11.59920634920635,1368.0002609361454
11.757936507936508,1368.0002226370434
11.916666666666666,1368.0001899593972
12.075396825396826,1368.0001620780818
12.234126984126984,1368.0001382890907
12.392857142857142,1368.0001179917551
12.551587301587302,1368.0001006735758
12.71031746031746,1368.000085897279
12.869047619047619,1368.0000732897747
13.027777777777779,1368.000062532735
13.186507936507937,1368.000053354556
13.345238095238095,1368.0000455234995
13.503968253968255,1368.0000388418407
13.662698412698413,1368.0000331408771
13.821428571428571,1368.000028276667
13.98015873015873,1368.0000241263967
14.13888888888889,1368.0000205852775
14.297619047619047,1368.0000175639022
14.456349206349206,1368.0000149859854
14.615079365079366,1368.0000127864391
14.773809523809524,1368.0000109097284
14.932539682539682,1368.0000093084693
15.091269841269842,1368.000007942233
15.25,1368.000006776524
