tau,N_4
0.5,406.5649166679309
1.0263157894736843,246.428942779165
1.5526315789473684,208.62736008385224
2.0789473684210527,193.9297752423882
2.6052631578947367,186.40659295132954
3.1315789473684212,181.7252967696695
3.6578947368421053,178.33300076082188
4.184210526315789,175.5703674498656
4.7105263157894735,173.12450719472832
5.2368421052631575,170.83548998974288
5.7631578947368425,168.61771593606298
6.2894736842105265,166.42447490968897
6.815789473684211,164.23059848865444
7.342105263157895,162.02336764726226
7.868421052631579,159.7974718651598
8.394736842105264,157.5520841286821
8.921052631578947,155.28909833777217
9.447368421052632,153.0120312049529
9.973684210526315,150.7253169971458
10.5,148.433842469613
