T,N_2,N_4,N_8,N_16
2.3783783783783785,0.9018822923966707,0.9019450169701937,0.901955718048631,0.9019580803342622
1.3134328358208955,0.41399725548241567,0.4144771263269949,0.41451139968603207,0.4145145317713536
0.9072164948453608,0.27089433288408776,0.2737088893907568,0.2738924005378176,0.27390480012830604
0.6929133858267716,0.19435427590779752,0.20479521472476256,0.2054768016603445,0.20552060278128043
0.5605095541401274,0.13343364349046985,0.1626171722023376,0.16455291183771598,0.1646762715487462
0.47058823529411764,0.06491539999837663,0.13251674575484051,0.13709997801590285,0.13739261845324266
0.4055299539170507,-0.029319669570859193,0.10767790216691726,0.11720989090507825,0.11782201305388289
0.35627530364372473,-0.16726203794219302,0.08390940856544953,0.10190309739886379,0.10306756177846167
0.3176895306859206,-0.3680044376564799,0.05795676288484962,0.08946519684525042,0.0915228060211774
0.28664495114006516,-0.6518118851096586,0.026832246219461356,0.07879277253655197,0.08222046190448869
0.26112759643916916,-1.039753166695072,-0.0124880111869764,0.06909720936408478,0.07453892821896124
0.23978201634877386,-1.5531714300728305,-0.06321105903444726,0.05975554956372464,0.06805559404435245
0.22166246851385388,-2.2131286088284634,-0.1287982600503315,0.050228826673255525,0.06246737347258707
0.2060889929742389,-3.0398971202655454,-0.2129947297733048,0.0400143849306154,0.05754497234873693
0.1925601750547046,-4.052538189211179,-0.31983335388050455,0.028616833301641855,0.053105542677898764
0.1806981519507187,-5.268583956382035,-0.4536220565953708,0.01553002096607657,0.048996120731581196
0.1702127659574468,-6.703825424265471,-0.6189195797306289,0.00022590381610081367,0.04508372376558295
0.16087751371115172,-8.37219839378778,-0.8205033866073735,-0.017852173076255286,0.04124962787257167
0.15251299826689774,-10.285753733073403,-1.0633324131088204,-0.03929339182610532,0.037386201588010336
0.14497528830313014,-12.454695658497961,-1.3525068183921203,-0.06472168203460732,0.03339517350061051
0.1381475667189953,-14.887471333512494,-1.6932264635454373,-0.09479700448665655,0.029186555105552844
0.13193403298350823,-17.590896231476417,-2.090749498341419,-0.13021619940588283,0.02467770007946056
0.12625538020086083,-20.570301724593246,-2.550352137347539,-0.17171369687728052,0.019792190857317083
0.12104539202200824,-23.829693761150136,-3.077290447058873,-0.22006222478047355,0.014458415910531049
0.11624834874504625,-27.3719139329544,-3.676764742072213,-0.2760735251753607,0.008607838028371057
0.11181702668360864,-31.198796496010026,-4.3538870003447006,-0.34059900505608093,0.0021730509598099777
0.1077111383108935,-35.31131687196351,-5.113651554691607,-0.4145302032437726,-0.004914225301282164
0.1038961038961039,-39.709728779442166,-5.960909197563739,-0.4987989493252673,-0.01272505065705011
0.10034207525655645,-44.3936884245772,-6.900344744150586,-0.5943771146056773,-0.02133493786901683
0.0970231532524807,-49.36236514827291,-7.936458028926839,-0.7022758968244445,-0.030825204246712274
0.09391675560298826,-54.614538627726574,-9.073548256398706,-0.8235446266368602,-0.041283966664457855
0.09100310237849017,-60.14868320896184,-10.315701583100031,-0.9592691244810689,-0.052806790803827455
0.08826479438314946,-65.96304025216426,-11.66678177144314,-1.1105696652151635,-0.0654970385637902
0.08568646543330087,-72.0556795436414,-13.130423725273303,-1.2785986234063282,-0.07946597525223734
0.08325449385052033,-78.4245509025387,-14.710029691823777,-1.4645378760029453,-0.09483270252028406
0.08095676172953083,-85.0675271157459,-16.408767895395002,-1.6695960345967338,-0.11172397789841368
0.07878245299910475,-91.98243929307982,-18.229573355133997,-1.8950055701118451,-0.130273971395715
0.07672188317349607,-99.16710566447213,-20.175150632657253,-2.14201988156865,-0.15062399730662443
0.07476635514018691,-106.6193547539852,-22.24797825502526,-2.41191034953138,-0.17292224761112177
0.07290803645401824,-114.33704377113764,-24.450314563765783,-2.705963405139409,-0.19732354321676385
0.07113985448666128,-122.31807296513081,-26.784204750779832,-3.0254776378434536,-0.2239891116430986
0.06945540647198105,-130.56039659547318,-29.251488855590953,-3.3717609589000643,-0.2530863940171246
0.06784888203546646,-139.06203108674518,-31.853810515066566,-3.7461278333485786,-0.2847888806434732
0.06631499623210249,-147.82106085624676,-34.592626274826756,-4.149896590101147,-0.3192759722436281
