T,N_2,N_20,N_200
33.01985370950888,3.2403646826847234,3.240372291748186,3.240372367814648
12.367906066536204,0.797693706084888,0.7977141144487392,0.7977143166284744
7.6089573802070785,0.512223511496982,0.5122354495160717,0.5122355489594141
5.494696574508781,0.3640630877140141,0.36407312247715823,0.3640731239683644
4.299904748945434,0.27943094138255836,0.2794596940977747,0.2794596490407086
3.5319101374762494,0.22596675049394496,0.2260477543804161,0.22604768196497954
2.9966808914177334,0.18920844161431657,0.18939848533052717,0.1893983910482022
2.6023223256196983,0.16228419664593546,0.16267481040491755,0.16267469929892742
2.2996870678989882,0.14157830748359976,0.14230795107399696,0.1423078323244239
2.060108220874894,0.12499371822853604,0.12626117480232096,0.12626106384404875
1.865737733955246,0.11120756982050554,0.11328662878625645,0.11328654907823464
1.7048826544375508,0.0993209232228322,0.10257625775784328,0.10257624265508193
1.569562409973675,0.08867918129064262,0.09358327912274128,0.09358337392806262
1.4541438497998251,0.07877325757337511,0.08592424966048755,0.08592451386705578
1.3545372712075099,0.06918196406352324,0.07932218933176992,0.07932269905723659
1.2677016889316806,0.059536821751510774,0.07357196243964803,0.0735728130533278
1.1913289349670124,0.049499741705639734,0.06851836235056322,0.06851967129118891
1.1236354585214947,0.03874844402320718,0.06404176754734547,0.06404367733357025
1.0632212913428216,0.026966723134549172,0.06004847977929807,0.06005116121080314
1.008972189405792,0.013837862424876788,0.05646405129591905,0.056467706845163536
0.9599902785794574,-0.0009598345245064063,0.05322857409806054,0.05323344149347162
0.9155439663914239,-0.017756045430780385,0.05029328895885001,0.050299644957555685
0.8750311522166534,-0.03689038445473903,0.047618101693276085,0.047626266043670464
0.8379517912545411,-0.058713591864929235,0.045169735340663444,0.04518007493432294
0.8038871505253249,-0.08358815101919986,0.04292033592678541,0.042933269141115164
0.7724839269562667,-0.11188846877869282,0.040846406918074285,0.04086240814380706
0.743441948006117,-0.1440007182072577,0.03892798530659075,0.03894758966759557
