tau,N_200
5.0,484.2051614261038
5.666666666666667,484.07923537823115
6.333333333333333,484.0058439133814
7.0,483.960294630192
7.666666666666667,483.9288474357155
8.333333333333334,483.9041181003038
9.0,483.88222094290757
9.666666666666666,483.8611351043495
10.333333333333334,483.8398162189493
11.0,483.81772644983016
11.666666666666666,483.7945894234484
12.333333333333334,483.77026339478084
13.0,483.7446758570572
13.666666666666666,483.7177898964103
14.333333333333334,483.6895868978037
15.0,483.6600576602198
