tau,N_200
5.0,3164.0722454094234
5.666666666666667,3163.8472063695312
6.333333333333333,3163.688216540902
7.0,3163.5591895888724
7.666666666666667,3163.441379237008
8.333333333333334,3163.3250892577707
9.0,3163.2053214022776
9.666666666666666,3163.0795049778044
10.333333333333334,3162.9463200913115
11.0,3162.8050903313024
11.666666666666666,3162.655470094675
12.333333333333334,3162.497283819643
13.0,3162.3304433804406
13.666666666666666,3162.1549056577496
14.333333333333334,3161.9706507487153
15.0,3161.777670777354
