tau,N_200
5.0,1911.2338057537581
5.666666666666667,1911.1196477541278
6.333333333333333,1911.0613400193465
7.0,1911.0314836749706
7.666666666666667,1911.0161797489911
8.333333333333334,1911.008334651118
9.0,1911.004317428858
9.666666666666666,1911.0022669242942
10.333333333333334,1911.0012285872297
11.0,1911.000712833146
11.666666666666666,1911.0004686919565
12.333333333333334,1911.0003676957263
13.0,1911.0003442887712
13.666666666666666,1911.0003652380917
14.333333333333334,1911.0004139285404
15.0,1911.0004822992169
