Temperature,N_2,N_4,N_8,N_16,N_0
1.0,0.6760967117839846,0.677101371518423,0.677143086858044,0.6771400112746384,0.6771377760580799
0.6666666666666666,0.3855240971207718,0.39286839231880094,0.3933379815458261,0.39336469966686993,0.39336541944106557
0.5,0.2502795695865037,0.278909857118039,0.2808328441829387,0.28095240478288663,0.28095931270851
0.4,0.13170084376789268,0.21307461767872837,0.2187658754488666,0.21912721199517668,0.21914955284573048
0.3333333333333333,-0.023533158841619297,0.16493902655541207,0.17873334188128864,0.1796244092768393,0.17968126716159533
0.2857142857142857,-0.25647453592626185,0.1212332695102964,0.1503143083119744,0.15222796814211353,0.15235339376516172
0.25,-0.6061376520993751,0.07337029902686482,0.12864475660205546,0.13235494639743894,0.1326038859205922
0.2222222222222222,-1.1104917444776605,0.014009931132197834,0.11097502548738021,0.1176208758796315,0.11807548418939177
0.2,-1.8054632738287637,-0.06414043639491258,0.09541877433336292,0.10659511976389997,0.10737133917374801
0.18181818181818182,-2.7236960364577527,-0.16875397361665287,0.08043687289852945,0.09829036334531262,0.09954493778151649
0.16666666666666666,-3.8936202638514077,-0.3079890279850588,0.06461683359731979,0.09194701836240711,0.0938851878630885
0.15384615384615385,-5.338974556048215,-0.49044730972239375,0.046578337724992404,0.08694284728637588,0.08982691265408221
0.14285714285714285,-7.078749044508259,-0.7250663218004896,0.024931899345274358,0.08275456370926197,0.08691340121916255
0.13333333333333333,-9.127447880480474,-1.0209852635887842,-0.0017408855948701785,0.07893963975794804,0.08477919406084311
0.125,-11.49555522065726,-1.387404560673167,-0.03489843540766742,0.07512532768557624,0.08314004660525826
0.11764705882352941,-14.190103056195909,-1.833450136898752,-0.07604670651667826,0.07099971338482192,0.08178485377304014
0.1111111111111111,-17.21526403719129,-2.3680493218102128,-0.12674571035571716,0.06630195218584958,0.08056653033951988
0.10526315789473684,-20.572918001849644,-2.999823050315271,-0.18861754617788923,0.06080868161403259,0.0793885650694665
0.1,-24.263162408848377,-3.7369975214029787,-0.26335805358636816,0.05431396009407763,0.07818442135733979
