tau,N_200
5.0,4901.661097467146
5.666666666666667,4901.115658731766
6.333333333333333,4900.7147267625
7.0,4900.431224632482
7.666666666666667,4900.245830647159
8.333333333333334,4900.134324150763
9.0,4900.071473199273
9.666666666666666,4900.037508560407
10.333333333333334,4900.019612399868
11.0,4900.0103316161585
11.666666666666666,4900.005582241791
12.333333333333334,4900.00319601224
13.0,4900.002040942269
13.666666666666666,4900.001531588335
14.333333333333334,4900.001367069322
15.0,4900.001393710944
