tau,N_2,N_4,N_6,N_8,N_10,N_12,N_14,N_16,N_18,N_20,N_22,N_24,N_26,N_28,N_30,N_32,N_34,N_36,N_38,N_40,N_42,N_44,N_46,N_48,N_50,N_52,N_54,N_56,N_58,N_60,N_62,N_64,N_66,N_68,N_70,N_72,N_74,N_76,N_78,N_80,N_82,N_84,N_86,N_88,N_90,N_92,N_94,N_96,N_98,N_100
0.25,535.3056533875279,536.0639602367024,536.2047536191122,536.2540584204534,536.2768842634698,536.2892847506567,536.2967622833586,536.3016156628254,536.304943202568,536.3073234114771,536.3090845179863,536.3104239959315,536.311466431925,536.3122935774486,536.3129608791339,536.3135070185836,536.3139596469047,536.3143389547537,536.3146599636216,536.3149340362592,536.3151698961984,536.3153743305929,536.3155526840043,536.3157092112934,536.3158473337554,536.3159698276722,536.3160789649194,536.3161766190703,536.3162643463455,536.3163434479985,536.3164150188493,536.3164799853714,536.3165391358264,536.316593144287,536.3166425899279,536.3166879726164,536.3167297255966,536.3167682258681,536.3168038027254,536.3168367448226,536.3168673060474,536.3168957104265,536.3169221562446,536.3169468195127,536.3169698569054,536.316991408254,536.3170115986751,536.3170305403888,536.3170483342828,536.317065071258
0.3790322580645161,519.8753023353823,521.5948249394011,521.9151597907161,522.0274185977429,522.0794032859365,522.1076484899061,522.124681705914,522.1357378237791,522.1433182737205,522.1487407305609,522.1527528457534,522.1558044512452,522.1581793554577,522.1600637926525,522.1615840755132,522.162828325664,522.1638595365878,522.1647237061482,522.1654550562151,522.166079473511,522.1666168321774,522.1670825949316,522.1674889379818,522.1678455549674,522.1681602404815,522.1684393196286,522.1686879683542,522.1689104551737,522.1691103255919,522.1692905442333,522.1694536054121,522.1696016199041,522.1697363835997,522.1698594322366,522.1699720853464,522.1700754817775,522.1701706085917,522.170258324708,522.1703393803604,522.1704144331915,522.1704840616354,522.1705487760962,522.1706090283268,522.1706652193361,522.170717706077,522.1707668071306,522.170812807551,522.1708559630117,522.1708965033669,522.1709346357172
0.5080645161290323,513.3372818043516,516.3976096537893,516.9704167222555,517.1713536962554,517.2644388192654,517.3150248228204,517.3455338197185,517.3653382447591,517.3789174184334,517.3886311828429,517.3958186250192,517.4012854664447,517.4055400754557,517.4089160527584,517.4116396675313,517.4138687789166,517.4157162339058,517.4172644345225,517.4185746875901,517.4196933683536,517.4206560809946,517.4214905268926,517.4222185197917,517.4228574259887,517.4234212096737,517.4239212024593,517.4243666772378,517.4247652812309,517.4251233663754,517.4254462439468,517.4257383826452,517.4260035640488,517.4262450056058,517.4264654586893,517.426667287329,517.4268525318512,517.4270229606483,517.4271801125371,517.4273253316186,517.4274597961112,517.4275845423253,517.4277004846905,517.4278084325598,517.4279091043738,517.4280031396446,517.428091109137,517.42817352355,517.4282508409458,517.428323473128,517.4283917911366
0.6370967741935484,508.9254462029101,513.6908652911279,514.588206794072,514.9033948255925,515.0494790735581,515.1288858814195,515.1767835260908,515.2078781273515,515.22919975393,515.2444526203925,515.2557388930323,515.2643235281067,515.2710046912435,515.276306175543,515.2805832624194,515.2840838242829,515.2869850586508,515.2894163592056,515.2914739957944,515.293230792154,515.2947426586344,515.2960530959557,515.297196359478,515.2981997206643,515.2990851085465,515.2998703181094,515.3005699114218,515.3011958976617,515.3017582519298,515.3022653150958,515.3027241048626,515.303140559883,515.3035197329033,515.303865944745,515.3041829079431,515.3044738266866,515.3047414781146,515.3049882788389,515.3052163396841,515.3054275109698,515.30562342016,515.3058055033131,515.3059750314728,515.3061331329103,515.306280811945,515.3064189649333,515.3065483939023,515.3066698182155,515.3067838845902,515.3068911757271
0.7661290322580645,505.041413757161,511.857282257774,513.1501369065653,513.6049639745102,513.8158952036546,513.9305844936272,513.9997757737285,514.0446985858647,514.0755043484596,514.0975429390274,514.1138508345184,514.1262553692007,514.1359096374975,514.143570392189,514.1497509486005,514.1548094475777,514.1590019213065,514.1625153343306,514.1654887921007,514.1680275230937,514.1702123173861,514.1721060339004,514.1737581723947,514.1752081410589,514.176487628312,514.1776223488527,514.1786333457599,514.1795379731136,514.1803506456768,514.1810834166737,514.1817464272826,514.1823482593896,514.1828962146873,514.183396537184,514.1838545918683,514.1842750091272,514.1846618022239,514.1850184634279,514.1853480431168,514.1856532152146,514.1859363315965,514.1861994675362,514.1864444598452,514.1866729390125,514.1868863564038,514.1870860073659,514.187273050929,514.187448526665,514.1876133691644,514.1877684205043
0.8951612903225806,501.1687614632995,510.35825064698315,512.1162863793576,512.73591550123,513.023479641313,513.1798907685699,513.2742710834306,513.3355554815788,513.3775845814243,513.4076540990203,513.4299055511253,513.4468315473714,513.4600051137318,513.4704586586869,513.4788925118214,513.4857953126424,513.4915163965727,513.4963108681968,513.5003685345288,513.5038329805573,513.5068144465495,513.5093987063204,513.5116533052505,513.5136320186865,513.5153780881479,513.5169266037666,513.5183062809961,513.5195408014062,513.5206498356433,513.5216498318324,513.52255462893,513.5233759380802,513.5241237234634,513.5248065059293,513.5254316067977,513.5260053449326,513.5265331970528,513.5270199289097,513.5274697032331,513.5278861690275,513.5282725358146,513.5286316356531,513.5289659751829,513.5292777794856,513.5295690292,513.5298414920535,513.5300967497462,513.5303362209593,513.5305611811076,513.5307727793573
1.0241935483870968,497.11331951006,508.97468395916536,511.2660392862526,512.0753689683719,512.4512789295951,512.655824892555,512.7792783120749,512.8594521633635,512.9144408670893,512.9537848363605,512.9829007633256,513.0050491396513,513.0222877733778,513.0359673404282,513.0470041161127,513.0560374393276,513.0635243988766,513.0697987967092,513.0751089995292,513.0796428953125,513.0835447413263,513.086926780393,513.0898774029002,513.0924669804455,513.0947521003749,513.096778683239,513.0985843076737,513.1001999649033,513.1016513973526,513.1029601303376,513.1041442746978,513.1052191567009,513.1061978164319,513.1070914051331,513.1079095042522,513.1086603833437,513.1093512098572,513.1099882208069,513.1105768640357,513.1111219150739,513.1116275743004,513.1120975481053,513.1125351170004,513.1129431930183,513.1133243682863,513.1136809562894,513.1140150270564,513.1143284372685,513.114622856111,513.1148997875447
1.153225806451613,492.8006421074626,507.6050599599379,510.4961361153979,511.51976169694456,511.99564642002974,512.2547098592848,512.4111073923518,512.5126922105393,512.5823733985306,512.6322334070674,512.6691335548178,512.6972044868456,512.7190534681139,512.7363919564675,512.7503810479868,512.7618309476298,512.7713209264541,512.7792740274089,512.7860050259715,512.7917520534635,512.796697946737,512.800984968768,512.8047251522094,512.8080076924575,512.8109043142758,512.8134732227671,512.8157620499184,512.8178100782819,512.8196499375792,512.8213089123137,512.8228099590808,512.8241725049569,512.8254130792005,512.8265458168825,512.8275828632806,512.8285347007743,512.8294104147583,512.8302179112382,512.830964095887,512.8316550221721,512.8322960145091,512.8328917711418,512.8334464504757,512.8339637438355,512.8344469370359,512.8348989626855,512.8353224447882,512.8357197369072,512.8360929549362,512.8364440053289
1.282258064516129,488.2080708919837,506.19806814624195,509.75333335709064,511.01550938066055,511.60290305494783,511.9228322923371,512.116030167506,512.2415402720724,512.3276429886678,512.3892584290573,512.4348612148061,512.469554036026,512.4965580904781,512.5179880222045,512.5352785591599,512.5494309004388,512.5611609041126,512.5709913822482,512.5793113579241,512.5864151392332,512.5925287004092,512.5978278723568,512.602451124843,512.6065087028601,512.610089258887,512.6132647357515,512.6160940082311,512.618625631326,512.6208999371424,512.6229506510364,512.6248061489699,512.626490444305,512.6280239685789,512.629424193993,512.6307061332502,512.6318827436039,512.6329652555352,512.6339634417101,512.6348858383022,512.6357399280851,512.6365322926574,512.6372687396107,512.6379544092418,512.6385938644887,512.6391911670353,512.6397499419646,512.6402734328893,512.6407645491271,512.6412259062072,512.6416598607661
1.4112903225806452,483.3378918751461,504.726343456575,509.00815048412903,510.53275421202636,511.24308568247363,511.63019080546565,511.8640287655217,512.0159704458125,512.120219451594,512.1948272644322,512.2500496207605,512.2920627235416,512.324765957018,512.3507194326144,512.3716602498323,512.3888006868472,512.4030075665619,512.4149139809323,512.4249910280075,512.4335951183232,512.4409999159391,512.4474183636986,512.453018160635,512.4579328251755,512.4622697263704,512.4661159968671,512.4695429428614,512.4726093722986,512.4753641342805,512.4778480763065,512.4800955670249,512.4821356913276,512.4839931959516,512.4856892433828,512.4872420172238,512.4886672115526,512.4899784289989,512.4911875064929,512.4923047833239,512.4933393228957,512.4942990970992,512.495191140335,512.4960216787632,512.4967962392325,512.4975197414593,512.4981965763353,512.4988306727022,512.4994255544906,512.4999843897842,512.5005100330835
