bits,error
8000,4432.970273616027
9000,4365.753719937549
10000,4064.422694277904
11000,3877.8667160679256
12000,3576.836720403944
13000,3161.3327072859606
14000,2974.776729075982
15000,2673.7467334120006
16000,2258.242720294017
17000,2071.6867420840385
18000,1770.656746420057
19000,1469.9277807517399
20000,1054.1227376380923
21000,867.5667594281135
22000,566.5367637641324
23000,265.5067681001512
24000,-35.510258702650894
