tau,N_2,N_4,N_6,N_8,N_10,N_12,N_14,N_16,N_18,N_20,N_22,N_24,N_26,N_28,N_30,N_32,N_34,N_36,N_38,N_40,N_42,N_44,N_46,N_48,N_50,N_52,N_54,N_56,N_58,N_60,N_62,N_64,N_66,N_68,N_70,N_72,N_74,N_76,N_78,N_80,N_82,N_84,N_86,N_88,N_90,N_92,N_94,N_96,N_98,N_100
0.25,37.93574714985652,37.952515491360536,37.955544535774294,37.95659902948648,37.95708611196874,37.95735043522583,37.95750972370364,37.9576130717669,37.9576839103523,37.957734572537596,37.95777205240249,37.95780055639487,37.95782273769768,37.95784033694465,37.957854534514176,37.957866153782625,37.95787578327388,37.95788385268985,37.95789068169987,37.95789651209898,37.95790152951183,37.95790587835364,37.95790967234073,37.957913002000964,37.95791594012516,37.95791854577962,37.957920867297915,37.95792294453954,37.95792481061156,37.957926493196794,37.95792801558578,37.95792939748767,37.957930655671134,37.957931804475706,37.95793285622187,37.957933821543094,37.957934709655525,37.95793552857873,37.9579362853174,37.95793698601182,37.957937636062574,37.95793824023521,37.95793880274753,37.95793932734346,37.957939817355715,37.95794027575883,37.95794070521401,37.95794110810832,37.957941486587885,37.95794184258626
0.3351063829787234,52.37262253287954,52.39975121838203,52.404569283755364,52.40624024035234,52.40701095015445,52.40742888928602,52.40768064897974,52.40784395227156,52.407955867690895,52.40803589778199,52.40809509899954,52.40814011954739,52.408175152034474,52.4082029466961,52.408225368369855,52.40824371777637,52.408258924571626,52.40827166749481,52.40828245146018,52.40829165836661,52.408299581386444,52.40830644860079,52.40831243960239,52.408317697359664,52.40832233682717,52.40832645128378,52.40833011705814,52.40833339709546,52.40833634367746,52.408339000519355,52.408341404400126,52.40834358644303,52.40834557312779,52.408347387097905,52.408349047808684,52.40835057205114,52.40835197437842,52.40835326745391,52.40835446233861,52.40835556872827,52.408356595150764,52.40835754913108,52.40835843732932,52.40835926565731,52.408360039377555,52.40836076318678,52.40836144128728,52.4083620774483,52.408362675058484,52.40836323717095
0.42021276595744683,45.98747842455271,46.0224398067676,46.028317990147706,46.03033058320972,46.03125423674556,46.03175387865464,46.032054433374874,46.03224921752927,46.03238263013677,46.032477994118906,46.03254851763686,46.0326021365986,46.03264385282662,46.03267694594473,46.032703638990995,46.032725482108226,46.0327435829766,46.0327587501637,46.03277158507301,46.03278254252651,46.03279197164026,46.03280014399313,46.03280727341139,46.03281353010422,46.03281905092078,46.03282394690023,46.03282830890043,46.03283221184446,46.03283571796099,46.03283887928014,46.03284173957555,46.03284433588842,46.03284669973275,46.03284885805615,46.032850834011874,46.0328526475819,46.03285431608468,46.032855854589755,46.03285727625976,46.03285859263215,46.03285981385491,46.03286094888213,46.03286200563895,46.03286299116007,46.03286391170736,46.03286477286923,46.03286557964625,46.03286633652328,46.03286704753226,46.032867716305994
0.5053191489361702,40.962756829653486,41.00693942773319,41.01368768158526,41.01594115810701,41.016965061834625,41.017516170480704,41.01784673937843,41.01806059347686,41.01820689361287,41.018311382736115,41.018388607765566,41.018447295265126,41.01849293895983,41.018529137784284,41.01855832950806,41.018582213058856,41.01860200188415,41.01861858142828,41.01863261007135,41.01864458559518,41.01865489000699,41.018663820415725,41.018671610710136,41.01867844704336,41.01868447906493,41.01868982818698,41.018694593745415,41.01869885764762,41.01870268791779,41.01870614142789,41.01870926602244,41.01871210218469,41.018714684355594,41.01871704198417,41.01871920037188,41.01872118135399,41.018723003854056,41.01872468433827,41.018726237188446,41.018727675010595,41.01872900889199,41.018730248615405,41.01873140283942,41.0187324792494,41.01873348468626,41.01873442525529,41.01873530641928,41.018736133077596,41.01873690963471,41.01873764005934
0.5904255319148937,36.826185912436706,36.88360594342776,36.8912201076609,36.893654919681765,36.89474119648397,36.89532044827023,36.89566603074837,36.89588884100904,36.89604092270606,36.89614936823292,36.89622942437169,36.89629021037987,36.89633745445078,36.89637490272098,36.89640508927476,36.89642977827566,36.896450228672094,36.896467358454636,36.89648184979722,36.89649421821381,36.896504859150966,36.89651408005854,36.896522122889614,36.896529180162965,36.896535406608585,36.896540927734264,36.896545846207054,36.896550246668006,36.8965541994003,36.89655776315746,36.896560987360765,36.896563913823016,36.896566578112854,36.89656901064121,36.89657123753316,36.89657328133365,36.89657516157994,36.89657689527102,36.89657849725295,36.89657998053851,36.896581356571815,36.89658263545028,36.89658382611022,36.8965849364836,36.89658597363029,36.89658694385117,36.8965878527833,36.89658870548262,36.89658950649409,36.89659025991284
0.675531914893617,33.342473512557355,33.42070500558566,33.429436769274346,33.43205007778258,33.43318120545151,33.433774756916186,33.434125529746346,33.434350325202885,33.43450313811004,33.434611792171474,33.434691833704406,33.43475251239788,33.434799615423294,33.43483691594324,33.434866960187115,33.4348915173573,33.43491184801639,33.43492887014251,33.43494326516373,33.43495554756125,33.434966111684204,33.43497526392504,33.43498324526697,33.43499024736032,33.434996424170535,33.435001900536726,33.435006778544434,33.435011142329486,33.43501506173719,33.4350185951404,33.43502179162923,33.43502469272893,33.435027333756395,33.435029744903,33.4350319521009,33.43503397772581,33.43503584116582,33.43503755928829,33.43503914682243,33.435040616677966,33.43504198020704,33.4350432474248,33.43504442719443,33.43504552738224,33.43504655498944,33.43504751626403,33.435048416794984,33.435049261595594,33.43505005517198,33.435050801583635
0.7606382978723404,30.363756587463453,30.474836995560572,30.485252635812884,30.488108653879998,30.48929036479867,30.489894916875183,30.490246700335074,30.490469884276678,30.4906205598753,30.49072716951259,30.49080542146143,30.4908645812684,30.490910407899097,30.49094663686853,30.490975778734377,30.490999572180954,30.491019252697043,30.49103571799837,30.491049633230176,30.491061499789165,30.491071701478376,30.491080536152598,30.491088237845634,30.491094992518608,30.491100949453077,30.49110622960815,30.49111093183826,30.491115137572038,30.49111891437665,30.491122318695883,30.491125397979967,30.491128192352743,30.491130735928728,30.49113305786267,30.491135183190504,30.491137133509024,30.491138927527192,30.491140581518394,30.491142109690713,30.491143524494927,30.49114483687744,30.491146056494728,30.491147191890736,30.49114825064796,30.491149239514293,30.491150164510078,30.491151031021225,30.49115184387796,30.49115260742118,30.491153325561687
0.8457446808510638,27.7838828104932,27.945214949188305,27.958250693648914,27.961488731804586,27.962751609369672,27.963374695296004,27.963728927074797,27.96395017909997,27.964097926528673,27.964201640640972,27.964277319943328,27.96433427790469,27.964378244375304,27.96441290603324,27.964440724562298,27.964463395800394,27.964482119544808,27.96449776441318,27.96451097202585,27.96452222479099,27.964531891156202,27.964540256511604,27.96454754472372,27.964553933417502,27.964559564999554,27.964564554728256,27.964568996705616,27.964572968376082,27.96457653394855,27.964579747024732,27.964582652635254,27.964585288836016,27.9645876879662,27.964589877649765,27.96459188159783,27.964593720255383,27.96459541132851,27.96459697021161,27.96459841034234,27.964599743490925,27.964600980004857,27.964602129008945,27.964603198575066,27.964604195865103,27.96460512725122,27.964605998417635,27.964606814449116,27.96460757990419,27.96460829887964,27.964608975065335
0.9308510638297872,25.52059085178125,25.75584850870084,25.772867956116666,25.776710203324786,25.778110928308724,25.778770944878936,25.779134475526373,25.779356527976816,25.779502439202435,25.77960364836673,25.779676834150592,25.779731530857077,25.779773519391714,25.779806475711446,25.779832830795254,25.77985424604126,25.77987188909464,25.779886600578937,25.779898998494485,25.7799095456048,25.77991859412117,25.779926416029575,25.779933224118956,25.779939186833392,25.779944438942213,25.77994908932642,25.779953226736204,25.779956924107875,25.779960241833702,25.779963230270997,25.779965931679882,25.77996838174143,25.779970610750595,25.77997264456344,25.779974505359345,25.779976212248798,25.779977781772292,25.779979228302956,25.779980564380207,25.779981800983187,25.77998294775837,25.779984013209084,25.779985004855824,25.77998592936777,25.779986792676066,25.779987600072072,25.779988356286065,25.77998906555741,25.779989731696485,25.779990358133155
1.0159574468085106,23.507116671928078,23.84714889006825,23.870005565221206,23.87476582567558,23.876388650804728,23.87711494926006,23.877499850376953,23.877728263380636,23.877875112931164,23.87797528305983,23.878046781130266,23.87809967055059,23.87813993937149,23.878171336000126,23.878196306917953,23.878216505648066,23.878233083389777,23.87824686227395,23.878258442529713,23.878268270928928,23.87827668574434,23.87828394701098,23.87829025735576,23.878295776613022,23.878300632263734,23.878304927014018,23.878308744372717,23.878312152815173,23.878315208927226,23.87831795980483,23.878320444907835,23.878322697502036,23.878324745793574,23.87832661382619,23.878328322200602,23.87832988864964,23.87833132850462,23.87833265507796,23.87833387997307,23.87833501334269,23.8783360641002,23.87833704009834,23.878337948276585,23.878338794786583,23.878339585096807,23.87834032408163,23.878341016097693,23.87834166504802,23.87834227443853,23.878342847424598
