tau,N_200
5.25,3864.199883593901
5.916666666666667,3863.8648069868036
6.583333333333333,3863.6286368748224
7.25,3863.4446640455485
7.916666666666667,3863.2844419884395
8.583333333333334,3863.131843496405
9.25,3862.978129025528
9.916666666666666,3862.8186825559915
10.583333333333334,3862.651100254151
11.25,3862.474140391104
11.916666666666666,3862.287165096844
12.583333333333334,3862.089848563571
13.25,3861.8820258422857
13.916666666666666,3861.663614840405
14.583333333333334,3861.4345761736513
15.25,3861.1948925255506
