tau,N_2,N_20,N_200
0.005,10630.368323090404,10630.373971491048,10630.37402797512
0.05556962025316456,1697.0782880572028,1697.2168669699095,1697.218252959414
0.10613924050632911,1388.2298536395458,1388.6822447080906,1388.686771014285
0.15670886075949367,1312.7269988033956,1313.6911480989722,1313.70080071191
0.20727848101265822,1284.217928881467,1285.8909445382183,1285.9077084232463
0.2578481012658228,1270.2397509489429,1272.8171514512653,1272.84300581731
0.30841772151898733,1262.0002682574275,1265.6761435055557,1265.7130661642357
0.3589873417721519,1256.3956395160317,1261.3624855281364,1261.4124539374793
0.40955696202531644,1252.1133496219056,1258.5618189900079,1258.6268103938467
0.460126582278481,1248.5230584846554,1256.6417033471191,1256.72369476819
0.5106962025316456,1245.2926075471012,1255.2676287119523,1255.3685969257374
0.5612658227848101,1242.2343577569686,1254.2493625492602,1254.371284055574
0.6118354430379747,1239.2365632832016,1253.4723331250377,1253.6171841193777
0.6624050632911392,1236.2299787719028,1252.8642472535041,1253.0340035983872
0.7129746835443038,1233.1704521158167,1252.3776942217573,1252.5743314180665
0.7635443037974684,1230.0293209754027,1251.9805540506425,1252.2060472089904
0.8141139240506329,1226.7878561595912,1251.6504531200796,1251.9067769321825
0.8646835443037975,1223.4339128807603,1251.3714280923257,1251.6605568024006
0.915253164556962,1219.9598398577934,1251.131848025462,1251.455755401636
0.9658227848101266,1216.3611323281352,1250.9230806566827,1251.2837399624248
1.016392405063291,1212.6355396247848,1250.7386134310418,1251.1379973966134
1.0669620253164558,1208.7824586374352,1250.5734605163302,1251.013541310257
1.1175316455696203,1204.8025117495606,1250.4237543197619,1250.9065035203284
1.1681012658227847,1200.6972465982797,1250.286458780221,1250.8138473469887
1.2186708860759494,1196.4689179913444,1250.159164700902,1250.7331629462526
1.269240506329114,1192.120326311997,1250.039941387592,1250.662518948294
1.3198101265822786,1187.6546954676762,1249.9272275875212,1250.6003533963274
1.370379746835443,1183.0755789951277,1249.8197502850137,1250.545392542283
1.4209493670886075,1178.3867865423545,1249.7164635230333,1250.4965896683832
1.4715189873417722,1173.592325332205,1249.6165018092315,1250.453078493222
1.5220886075949367,1168.696352813741,1249.5191442717087,1250.4141373275552
1.5726582278481012,1163.7031377990031,1249.4237868264534,1250.379161241774
1.6232278481012659,1158.6170281368136,1249.3299203777035,1250.3476402662982
1.6737974683544303,1153.4424235026236,1249.2371136050265,1250.3191421786926
1.724367088607595,1148.1837522564658,1249.1449992689957,1250.2932988093778
1.7749367088607595,1142.8454515876708,1249.053263238815,1250.2697950692923
1.825506329113924,1137.4319503573658,1248.9616356422418,1250.2483600998526
1.8760759493670887,1131.947654189752,1248.8698836825367,1250.2287600899413
1.9266455696202531,1126.3969324658422,1248.7778057739747,1250.2107924114591
1.9772151898734178,1120.7841069492142,1248.6852267271713,1250.1942808046904
2.0277848101265823,1115.113441829799,1248.591993775433,1250.1790714046958
2.078354430379747,1109.3891350140034,1248.4979732788463,1250.1650294454444
2.1289240506329112,1103.61531052133,1248.403047977563,1250.1520365131394
2.179493670886076,1097.7960118718495,1248.3071146924665,1250.1399882469325
2.2300632911392406,1091.9351963673366,1248.2100823921198,1250.1287924059143
2.280632911392405,1086.036730183095,1248.1118705610327,1250.1183672374286
2.3312025316455696,1080.1043841985238,1248.0124078169256,1250.1086400943825
2.3817721518987343,1074.1418305031177,1247.9116307346615,1250.0995462592264
2.432341772151899,1068.1526395214387,1247.8094828424153,1250.091027940173
2.482911392405063,1062.1402777060857,1247.7059137619615,1250.083033411532
2.533481012658228,1056.1081057521858,1247.600878470003,1250.075516275092
2.5840506329113926,1050.0593772906282,1247.4943366615375,1250.0684348235377
2.634620253164557,1043.9972380204056,1247.3862521995336,1250.061751490179
2.6851898734177215,1037.924725243138,1247.276592637861,1250.0554323719334
2.7357594936708862,1031.8447677652189,1247.1653288065934,1250.0494468146865
2.7863291139240505,1025.7601861351468,1247.0524344505823,1250.0437670519186
2.836898734177215,1019.6736931855519,1246.9378859136625,1250.03836788897
2.88746835443038,1013.5878948511994,1246.8216618620577,1250.0332264265035
2.938037974683544,1007.5052912359401,1246.7037430415553,1250.0283218177385
2.988607594936709,1001.4282779031447,1246.584112063844,1250.0236350548507
3.0391772151898735,995.3591473656843,1246.462753218107,1250.0191487806264
3.089746835443038,989.3000907529433,1246.3396523045342,1250.0148471220368
3.1403164556962024,983.2531996337581,1246.2147964869073,1250.0107155428905
3.190886075949367,977.2204679754982,1246.0881741618168,1250.0067407131137
3.241455696202532,971.2037942208033,1245.9597748424162,1250.0029103925726
3.292025316455696,965.2049834647358,1245.8295890549055,1249.9992133276255
3.3425949367088608,959.2257497162985,1245.6976082461902,1249.9956391588496
3.3931645569620255,953.2677182294354,1245.563824701365,1249.9921783385985
3.4437341772151897,947.3324278897244,1245.4282314698544,1249.9888220572116
3.4943037974683544,941.4213336440545,1245.2908222991955,1249.9855621768731
3.544873417721519,935.5358089615802,1245.151591575578,1249.9823911722247
3.5954430379746833,929.6771483152285,1245.0105342703719,1249.9793020769675
3.646012658227848,923.8465696739529,1244.8676458919606,1249.9762884357767
3.6965822784810127,918.0452169968135,1244.7229224423031,1249.9733442609374
3.7471518987341774,912.2741627207885,1244.5763603776923,1249.970463993182
3.7977215189873417,906.5344102350143,1244.42795657326,1249.967642466278
3.8482911392405064,900.8268963348924,1244.27770829083,1249.9648748749607
3.898860759493671,895.152493650195,1244.1256131497619,1249.9621567458573
3.9494303797468353,889.5120130419617,1243.9716691004667,1249.95948391109
4.0,883.9062059635847,1243.8158744003345,1249.956852484284
