tau,N_32
5.25,1116.3912322803471
5.462765957446808,1116.0557217459339
5.675531914893617,1115.7135076565728
5.888297872340425,1115.3635829018888
6.101063829787234,1115.005150093739
6.3138297872340425,1114.6375782532243
6.526595744680851,1114.2603689420123
6.73936170212766,1113.8731296335798
6.952127659574468,1113.475552678369
7.164893617021277,1113.0673986212714
7.377659574468085,1112.6484829260949
7.590425531914893,1112.21866538108
7.803191489361702,1111.7778416237509
8.01595744680851,1111.3259363474865
8.22872340425532,1110.8628978468741
8.441489361702128,1110.3886936317133
8.654255319148936,1109.903306895962
8.867021276595745,1109.4067336719165
9.079787234042554,1108.8989805344581
9.292553191489361,1108.380062747402
9.50531914893617,1107.8500027655539
9.71808510638298,1107.3088290231995
9.930851063829786,1106.756574953392
10.143617021276595,1106.193278193332
10.356382978723405,1105.6189799398437
10.569148936170214,1105.0337244259645
10.78191489361702,1104.437558495292
10.99468085106383,1103.830531255254
11.207446808510639,1103.2126937940996
11.420212765957446,1102.5840989493577
11.632978723404255,1101.9448011178556
11.845744680851064,1101.2948560993136
12.058510638297872,1100.6343209670533
12.27127659574468,1099.9632539606087
12.48404255319149,1099.2817143960306
12.696808510638299,1098.5897625904795
12.909574468085106,1097.8874597983595
13.122340425531915,1097.1748681567733
13.335106382978724,1096.452050638501
13.547872340425531,1095.7190710110601
13.76063829787234,1094.9759938006687
13.97340425531915,1094.2228842601714
14.186170212765957,1093.4598083401659
14.398936170212766,1092.6868326627061
14.611702127659575,1091.9040244970965
14.824468085106384,1091.1114517373637
15.037234042553191,1090.3091828810952
15.25,1089.4972870093734
