tau,N_160
10.25,1911.0014717399376
10.462765957446809,1911.0012594252846
10.675531914893616,1911.0010932591865
10.888297872340425,1911.0009647132727
11.101063829787234,1911.0008669052543
11.313829787234043,1911.0007942836214
11.52659574468085,1911.0007423727907
11.73936170212766,1911.0007075671108
11.952127659574469,1911.000686964359
12.164893617021276,1911.0006782311482
12.377659574468085,1911.0006794941341
12.590425531914894,1911.0006892520698
12.803191489361701,1911.0007063047174
13.01595744680851,1911.0007296953806
13.22872340425532,1911.000758664451
13.441489361702128,1911.000792611853
13.654255319148936,1911.0008310666892
13.867021276595745,1911.000873662698
14.079787234042554,1911.0009201184157
14.292553191489361,1911.000970221138
14.50531914893617,1911.0010238139555
14.71808510638298,1911.0010807852727
14.930851063829786,1911.0011410603329
15.143617021276595,1911.0012045943708
15.356382978723405,1911.0012713670726
15.569148936170214,1911.001341378098
15.78191489361702,1911.001414643463
15.99468085106383,1911.001491192611
16.20744680851064,1911.0015710660477
16.420212765957448,1911.0016543134284
16.632978723404257,1911.0017409920101
16.845744680851062,1911.0018311654017
17.05851063829787,1911.0019249025522
17.27127659574468,1911.0020222769326
17.48404255319149,1911.0021233658751
17.6968085106383,1911.0022282500372
17.909574468085108,1911.0023370129695
18.122340425531913,1911.0024497407653
18.335106382978722,1911.0025665217781
18.54787234042553,1911.0026874463908
18.76063829787234,1911.0028126068314
18.97340425531915,1911.002942097022
19.18617021276596,1911.0030760124573
19.398936170212767,1911.0032144501056
19.611702127659573,1911.0033575083287
19.824468085106382,1911.0035052868177
20.03723404255319,1911.0036578865393
20.25,1911.0038154096924
