bits,error
8000,2321.842272700208
9000,2021.1133070318908
10000,1633.879443929414
11000,1156.8518932699658
12000,1204.1199826559248
13000,901.4178891340079
14000,342.3682262716747
15000,299.65892780170947
16000,-Inf
