tau,N_32
5.25,1120.1474009009191
5.462765957446808,1120.1212887533532
5.675531914893617,1120.1005910274548
5.888297872340425,1120.0842791860039
6.101063829787234,1120.0715336679962
6.3138297872340425,1120.0617005916945
6.526595744680851,1120.0542578992001
6.73936170212766,1120.048788738653
6.952127659574468,1120.04496043851
7.164893617021277,1120.0425078327041
7.377659574468085,1120.041219991692
7.590425531914893,1120.040929633745
7.803191489361702,1120.0415046550158
8.01595744680851,1120.0428413409747
8.22872340425532,1120.0448589164369
8.441489361702128,1120.0474951641852
8.654255319148936,1120.0507028985771
8.867021276595745,1120.0544471245087
9.079787234042554,1120.0587027466192
9.292553191489361,1120.0634527208178
9.50531914893617,1120.0686865617556
9.71808510638298,1120.074399136985
9.930851063829786,1120.0805896921827
10.143617021276595,1120.0872610627216
10.356382978723405,1120.0944190355951
10.569148936170214,1120.1020718327036
10.78191489361702,1120.1102296921317
10.99468085106383,1120.1189045285735
11.207446808510639,1120.1281096576877
11.420212765957446,1120.1378595721199
11.632978723404255,1120.1481697592642
11.845744680851064,1120.159056552773
12.058510638297872,1120.170537011338
12.27127659574468,1120.182628819517
12.48404255319149,1120.1953502063905
12.696808510638299,1120.2087198786262
12.909574468085106,1120.222756965199
13.122340425531915,1120.2374809715334
13.335106382978724,1120.2529117412653
13.547872340425531,1120.2690694241687
13.76063829787234,1120.2859744490652
13.97340425531915,1120.3036475007646
14.186170212765957,1120.3221095002707
14.398936170212766,1120.341381587622
14.611702127659575,1120.3614851068721
14.824468085106384,1120.3824415927966
15.037234042553191,1120.4042727590022
15.25,1120.427000487171
