tau,N_2,N_20,N_200
0.005,10630.376628065656,10630.374054540845,10630.374028805618
0.05556962025316456,1697.2420551942566,1697.218504775008,1697.2182693374782
0.10613924050632911,1388.718577286104,1388.6871335371902,1388.6868199027354
0.15670886075949367,1313.7344210706376,1313.7012297207875,1313.700901528869
0.20727848101265822,1285.9421667744655,1285.9082093796674,1285.9078810739115
0.2578481012658228,1272.8788980433364,1272.84359647225,1272.8432702728915
0.30841772151898733,1265.7516228540562,1265.7137663186265,1265.7134424033418
0.3589873417721519,1261.45545538262,1261.4132837139712,1261.4129619394612
0.40955696202531644,1258.6766501892282,1258.6277900101484,1258.627470138115
0.460126582278481,1256.7834615097345,1256.724844518259,1256.724526234148
0.5106962025316456,1255.4421552407614,1255.3699371861912,1255.3696200927723
0.5612658227848101,1254.463352363669,1254.3728352949165,1254.3725189030545
0.6118354430379747,1253.7334085554087,1253.6189669075188,1253.6186506266522
0.6624050632911392,1253.1810277870616,1253.0360386161892,1253.0357217447822
0.7129746835443038,1252.7598618454335,1252.5766394668874,1252.5763211828842
0.7635443037974684,1252.438913971514,1252.20864922022,1252.2083285715064
0.8141139240506329,1252.196989677933,1251.9096939767765,1251.9093698716454
0.8646835443037975,1252.0193557130724,1251.6638101004025,1251.6634812980285
0.915253164556962,1251.8956570983871,1251.4593663316964,1251.4590314326153
0.9658227848101266,1251.8185782525834,1251.2877300713112,1251.2873875079083
1.016392405063291,1251.7829588117977,1251.1423884087117,1251.1420364357182
1.0669620253164558,1251.7851954190774,1251.0183551370656,1251.0179918220629
1.1175316455696203,1251.822828030315,1250.9117622699418,1250.911385483875
1.1681012658227847,1251.89424804044,1250.8195733335742,1250.819180741275
1.2186708860759494,1251.9984885231106,1250.7393786995133,1250.738967750234
1.269240506329114,1252.1350708757318,1250.669247222926,1250.6688151408807
1.3198101265822786,1252.3038908893013,1250.607617181462,1250.6071609563824
1.370379746835443,1252.5051328217614,1250.5532150709212,1250.5527314486205
1.4209493670886075,1252.7392036641868,1250.504994426817,1250.5044798997662
1.4715189873417722,1253.0066821763594,1250.462089230442,1250.4615400283606
1.5220886075949367,1253.308278872575,1250.4237780646497,1250.423190145105
1.5726582278481012,1253.6448042329682,1250.3894562813107,1250.3888253203334
1.6232278481012659,1254.0171431726235,1250.3586142016964,1250.3579355844076
1.6737974683544303,1254.4262343310616,1250.3308199035782,1250.3300887148314
1.724367088607595,1254.873053120591,1250.305705526927,1250.304916541963
1.7749367088607595,1255.3585977414123,1250.282956301559,1250.2821039766768
1.825506329113924,1255.8838775663887,1250.2623016970813,1250.261380160323
1.8760759493670887,1256.4499034409153,1250.243508239865,1250.2425112817155
1.9266455696202531,1257.0576795484071,1250.2263736485813,1250.2252947126854
1.9772151898734178,1257.7081965700381,1250.210722019552,1250.2095541934445
2.0277848101265823,1258.4024259259058,1250.1963998531235,1250.1951358589802
2.078354430379747,1259.1413149289735,1250.183272757785,1250.1819049431847
2.1289240506329112,1259.9257827167417,1250.171222703477,1250.1697430321847
2.179493670886076,1260.7567168513333,1250.160145722287,1250.158545765051
2.2300632911392406,1261.6349704985169,1250.149949975424,1250.1482209007931
2.280632911392405,1262.5613601115967,1250.1405541215142,1250.138686686671
2.3312025316455696,1263.5366635581797,1250.1318859338935,1250.129870475506
2.3817721518987343,1264.5616186373115,1250.1238811245692,1250.1217075496618
2.432341772151899,1265.6369219420733,1250.1164823404197,1250.1141401172608
2.482911392405063,1266.7632280287621,1250.109638303511,1250.1071164525213
2.533481012658228,1267.9411488587293,1250.1033030724584,1250.100590157139
2.5840506329113926,1269.1712534829521,1250.0974354058246,1250.094519523703
2.634620253164557,1270.4540679427523,1250.0919982118262,1250.0888669854255
2.6851898734177215,1271.7900753628646,1250.086958071299,1250.0835986391253
2.7357594936708862,1273.1797162154264,1250.0822848230328,1250.0786838305858
2.7863291139240505,1274.62338873547,1250.07795120238,1250.0740947931845
2.836898734177215,1276.1214494702806,1250.0739325254956,1250.0698063321558
2.88746835443038,1277.6742139465168,1250.0702064127777,1250.0657955480558
2.938037974683544,1279.281957440365,1250.0667525460788,1250.0620415939939
2.988607594936709,1280.9449158372365,1250.0635524550792,1250.058525462034
3.0391772151898735,1282.6632865686345,1250.0605893289185,1250.055229794849
3.089746835443038,1284.4372296148238,1250.0578478497434,1250.0521387192946
3.1403164556962024,1286.266868562894,1250.0553140453342,1250.0492376990615
3.190886075949367,1288.1522917106558,1250.0529751583576,1250.0465134039555
3.241455696202532,1290.0935532076144,1250.050819530164,1250.0439535937214
3.292025316455696,1292.090674225024,1250.0488364973085,1250.0415470145933
3.3425949367088608,1294.1436441477108,1250.0470162992524,1250.0392833070223
3.3931645569620255,1296.2524217810148,1250.0453499958883,1250.037152923233
3.4437341772151897,1298.4169365668015,1250.0438293937232,1250.0351470534351
3.4943037974683544,1300.6370898030805,1250.0424469797047,1250.0332575596797
3.544873417721519,1302.9127558622858,1250.0411958618035,1250.031476916474
3.5954430379746833,1305.2437834037871,1250.0400697155862,1250.0297981573822
3.646012658227848,1307.629996576658,1250.0390627360946,1250.0282148269407
3.6965822784810127,1310.0711962091732,1250.038169594451,1250.026720937293
3.7471518987341774,1312.5671609819055,1250.0373853986646,1250.0253109290284
3.7977215189873417,1315.1176485816727,1250.0367056581842,1250.023979635769
3.8482911392405064,1317.722396833941,1250.0361262517974,1250.0227222521025
3.898860759493671,1320.3811248116087,1250.0356433985216,1250.0215343045065
3.9494303797468353,1323.0935339183998,1250.035253631172,1250.0204116249513
4.0,1325.8593089453773,1250.0349537723362,1250.0193503269081
