tau,N_15
0.25,16.207782464021715
0.35050251256281406,11.702514029975603
0.4510050251256281,9.240985351374063
0.5515075376884422,7.705112549443911
0.6520100502512562,6.666056760668425
0.7525125628140703,5.923977033644389
0.8530150753768844,5.373143229297805
0.9535175879396985,4.952353486277385
1.0540201005025125,4.623718226280912
1.1545226130653266,4.362524894516804
1.2550251256281406,4.151971691761865
1.3555276381909547,3.980243074829713
1.4560301507537687,3.8387954072561405
1.556532663316583,3.7213057378670413
1.657035175879397,3.6230021613227232
1.7575376884422111,3.5402230539070354
1.8580402010050252,3.47011858679666
1.9585427135678393,3.410443487862189
2.059045226130653,3.359409959162111
2.159547738693467,3.315581237024182
2.2600502512562812,3.277793222180952
2.3605527638190953,3.2450958851774434
2.4610552763819094,3.216708855671208
2.5615577889447234,3.191987351866589
2.6620603015075375,3.170395759689913
2.762562814070352,3.1514869471111875
2.863065326633166,3.1348859301276994
2.96356783919598,3.1202768765356668
3.064070351758794,3.1073926948090778
3.1645728643216082,3.096006642648456
3.2650753768844223,3.085925525805806
3.3655778894472363,3.0769841578807555
3.4660804020100504,3.06904082628167
3.5665829145728645,3.061973565597862
3.6670854271356785,3.0556770822231525
3.7675879396984926,3.0500602067341234
3.8680904522613067,3.0450437757825446
3.9685929648241207,3.0405588649378257
4.069095477386934,3.036545309349542
4.169597989949748,3.0329504612811893
4.2701005025125625,3.0297281432334575
4.3706030150753765,3.0268377630856724
4.471105527638191,3.0242435638614262
4.571608040201005,3.021913985693887
4.672110552763819,3.019821121578836
4.772613065326633,3.0179402517544425
4.873115577889447,3.016249444188931
4.973618090452261,3.0147292108109696
5.074120603015075,3.0133622108778306
5.174623115577889,3.01213299431889
5.275125628140704,3.011027779077022
5.375628140703518,3.0100342574462986
5.476130653266332,3.009141427209929
5.576633165829146,3.0083394440488305
5.67713567839196,3.0076194922438995
5.777638190954774,3.006973671154462
5.878140703517588,3.0063948953381545
5.978643216080402,3.0058768064971004
6.0791457286432165,3.005413695702899
6.1796482412060305,3.0050004345774384
6.280150753768845,3.004632414295488
6.380653266331659,3.0043054914343443
6.481155778894473,3.004015939830472
6.581658291457287,3.003760407717308
6.682160804020101,3.0035358795154274
6.782663316582915,3.003339641728956
6.883165829145729,3.003169252472799
6.983668341708543,3.00302251421576
7.084170854271357,3.0028974493766265
7.184673366834171,3.0027922784550745
7.285175879396985,3.002705400417879
7.385678391959799,3.002635375094414
7.486180904522613,3.0025809073644267
7.586683417085427,3.002540832946364
7.687185929648241,3.00251410561653
7.7876884422110555,3.0024997857086198
7.88819095477387,3.0024970297600384
7.988693467336684,3.002505081186206
8.089195979899497,3.002523261877078
8.18969849246231,3.002550964621593
8.290201005025125,3.0025876462758747
8.390703517587939,3.0026328215999922
8.491206030150753,3.002686057696023
8.591708542713567,3.0027469689871955
8.692211055276381,3.0028152126841685
8.792713567839195,3.002890484690062
8.89321608040201,3.0029725159008276
8.993718592964823,3.0030610688619728
9.094221105527637,3.0031559347466072
9.194723618090451,3.003256930623319
9.295226130653266,3.0033638969855496
9.39572864321608,3.0034766955169743
9.496231155778894,3.003595207069929
9.596733668341708,3.0037193298362097
9.697236180904522,3.003848977691616
9.797738693467336,3.0039840786974357
9.89824120603015,3.0041245737437365
9.998743718592964,3.0042704153208084
10.099246231155778,3.0044215664064247
10.199748743718592,3.0045779994578106
10.300251256281408,3.004739695498284
10.400753768844222,3.0049066432895026
10.501256281407036,3.005078838581135
10.60175879396985,3.005256283430573
10.702261306532664,3.005438985585999
10.802763819095478,3.00562695792679
10.903266331658292,3.0058202179557942
11.003768844221106,3.0060187873385766
11.10427135678392,3.00622269148515
11.204773869346734,3.0064319591702042
11.305276381909549,3.0066466221881694
11.405778894472363,3.006866715039832
11.506281407035177,3.0070922746475355
11.60678391959799,3.007323340096263
11.707286432160805,3.007559952398182
11.807788944723619,3.007802154278443
11.908291457286433,3.0080499899802375
12.008793969849247,3.0083035050873295
12.109296482412061,3.0085627463624123
12.209798994974875,3.0088277615998282
12.31030150753769,3.0090985994913124
12.410804020100503,3.0093753095035534
12.511306532663317,3.009657941766477
12.611809045226131,3.009946546971266
12.712311557788945,3.0102411762772174
12.81281407035176,3.0105418812266276
12.913316582914574,3.010848713666967
13.013819095477388,3.0111617256796905
13.114321608040202,3.0114809695150675
13.214824120603016,3.011806497532493
13.31532663316583,3.0121383621457887
13.415829145728644,3.01247661577304
13.516331658291458,3.0128213107905686
13.616834170854272,3.013172499490669
13.717336683417086,3.0135302340427783
13.8178391959799,3.013894566457781
13.918341708542714,3.014265548555168
14.018844221105528,3.014643231932802
14.119346733668342,3.0150276679390795
14.219849246231156,3.015418907647262
14.32035175879397,3.015817001831806
14.420854271356784,3.0162220009465277
14.521356783919598,3.0166339551044326
14.621859296482413,3.0170529140590943
14.722361809045227,3.0174789271874363
14.82286432160804,3.017912043473818
14.923366834170855,3.018352311495309
15.023869346733669,3.0187997794080745
15.124371859296483,3.019254494934762
15.224874371859297,3.019716505352839
15.325376884422111,3.020185857483788
15.425879396984925,3.0206625976831076
15.52638190954774,3.0211467718310567
15.626884422110553,3.0216384253240913
15.727386934673367,3.0221376030669402
15.827889447236181,3.022644349465279
15.928391959798995,3.023158708418964
16.02889447236181,3.0236807233157803
16.12939698492462,3.024210437025685
16.229899497487438,3.0247478918954998
16.33040201005025,3.02529312974403
16.430904522613066,3.025846191857593
16.531407035175878,3.0264071189859147
16.631909547738694,3.0269759513383923
16.732412060301506,3.0275527285806865
16.832914572864322,3.02813748983163
16.933417085427134,3.0287302736604493
17.03391959798995,3.029331118084255
17.134422110552762,3.029940060565818
17.234924623115578,3.030557138011595
17.33542713567839,3.0311823867700016
17.435929648241206,3.0318158426299235
17.53643216080402,3.0324575408194447
17.636934673366834,3.0331075160047947
17.737437185929647,3.0337658022894987
17.837939698492463,3.0344324332137225
17.938442211055275,3.0351074417538086
18.03894472361809,3.0357908603219914
18.139447236180903,3.036482720766283
18.23994974874372,3.037183054370531
18.34045226130653,3.037891891854632
18.440954773869347,3.038609263374907
18.54145728643216,3.039335198524617
18.641959798994975,3.04006972633463
18.742462311557787,3.040812875274222
18.842964824120603,3.041564673252014
18.943467336683415,3.0423251476170394
19.04396984924623,3.0430943251599385
19.144472361809044,3.043872232114266
19.24497487437186,3.0446588941579256
19.34547738693467,3.04545433641471
19.445979899497488,3.046258583455956
19.5464824120603,3.0470716593023024
19.646984924623116,3.0478935874255506
19.747487437185928,3.0487243907506243
19.847989949748744,3.0495640916576296
19.948492462311556,3.050412711984
20.048994974874372,3.0512702730267374
20.149497487437184,3.0521367955447385
20.25,3.0530122997612037
