tau_mid,Energy_Thermodynamic,Energy_Hamiltonian
0.15000000000000002,6542.069909630627,6543.2198828569235
0.25,5520.797940297834,5523.49364241712
0.35000000000000003,5218.743948083447,5223.738449127541
0.45,5089.314185222629,5097.365639304728
0.55,5020.905030815738,5032.77084153312
0.65,4979.025773733119,4995.460448650326
0.7500000000000001,4950.257349154635,4972.011409771036
0.8500000000000001,4928.519674966956,4956.3388582885345
0.9500000000000001,4910.740819407365,4945.365378700463
1.05,4895.236954021675,4937.401006692057
1.1500000000000001,4881.025422774328,4931.456329974475
1.2500000000000002,4867.503989642137,4926.921762953199
1.3500000000000003,4854.289141655536,4923.405875723246
1.4500000000000002,4841.129324520152,4920.648655807679
1.5500000000000003,4827.855907642588,4918.4724999715845
1.6500000000000001,4814.35423064424,4916.753288401501
1.7500000000000002,4800.545852337964,4915.402662281596
1.8500000000000003,4786.377305336355,4914.356807895054
1.9500000000000002,4771.812762407062,4913.569153259037
2.05,4756.829127254896,4913.005489811839
2.15,4741.412668894918,4912.640638129037
2.25,4725.556662613526,4912.456120461034
2.35,4709.259701905539,4912.43850427877
2.45,4692.524466718314,4912.578201964224
2.5500000000000003,4675.356807921344,4912.868586386253
2.65,4657.765054854099,4913.305329054982
2.75,4639.759482860391,4913.885897619232
2.85,4621.351897521381,4914.609169299643
2.95,4602.555305205024,4915.475129763983
3.0500000000000003,4583.383648571471,4916.484635999878
3.15,4563.851591484563,4917.639227551013
3.25,4543.974342256843,4918.940974991904
3.35,4523.7675067957025,4920.392357147379
3.45,4503.246965574508,4921.99616094756
3.5500000000000003,4482.428769742837,4923.75539920131
3.65,4461.329052779765,4925.67324266772
3.75,4439.963955008716,4927.752963737701
3.85,4418.349558797199,4929.997889541507
3.95,4396.501832745853,4932.411362788174
4.05,4374.436583558563,4934.996709041527
4.1499999999999995,4352.169414490636,4937.757209342707
4.25,4329.715689559234,4940.696077392545
4.35,4307.090502695937,4943.816440487061
4.449999999999999,4284.308651361207,4947.121323771991
4.55,4261.38461404742,4950.613637268646
4.6499999999999995,4238.332531270571,4954.296165312742
4.75,4215.166189785814,4958.171558200209
4.85,4191.899009481422,4962.242325501162
4.95,4168.5440329121775,4966.510831087416
5.05,4145.113917203271,4970.979289652306
5.1499999999999995,4121.6209277752205,4975.649764157394
5.25,4098.076934283308,4980.524164761304
5.35,4074.4934079423547,4985.604248323839
5.45,4050.881420497026,4990.89161887447
5.55,4027.25164457981,4996.387728815509
5.6499999999999995,4003.614355106256,5002.093880503753
5.75,3979.979431871907,5008.01122848335
5.85,3956.3563630430144,5014.14078206051
5.95,3932.7542494723457,5020.483408198476
6.05,3909.1818096872885,5027.039834601968
6.1499999999999995,3885.647385570337,5033.8106530760715
6.25,3862.158948626602,5040.796323085404
6.35,3838.7241065799026,5047.997175232778
6.45,3815.350110634172,5055.413415147126
6.55,3792.0438628210104,5063.0451270763115
6.6499999999999995,3768.8119239368825,5070.892277892342
6.75,3745.660521548998,5078.954720869906
6.85,3722.595558416506,5087.232199743055
6.95,3699.622620936134,5095.724352559319
7.05,3676.7469879158307,5104.430715782132
