n,mu_Thermo,mu_Ham,mu_Ham_Exact,n_TF,mu_TF
2.0,0.16016681883165518,12.567064778577848,2.0000000000004547,1.0,1.414096248092818
3.0,0.16016681883399997,12.567064778761832,2.0000000000004547,1.2992992992992993,1.6119140167728503
4.0,0.24025022824559983,18.850597167719034,3.000000000000682,1.5985985985985987,1.7879780188993888
5.0,0.24025022824616826,18.850597167763638,3.000000000001819,1.897897897897898,1.948195060733388
6.0,0.2402502282518526,18.85059716820963,3.0000000000063665,2.1971971971971973,2.096201944771682
7.0,0.32033363766004186,25.134129556899254,3.9999999999918145,2.496496496496497,2.2344263675188847
8.0,0.32033363766004186,25.134129556899254,4.000000000014552,2.795795795795796,2.3645844857953393
9.0,0.32033363766458933,25.134129557256045,3.999999999987267,3.095095095095095,2.4879426016407082
10.0,0.3203336376691368,25.13412955761285,4.000000000014552,3.3943943943943946,2.605466750441822
11.0,0.4004170470761892,31.417661946213258,4.999999999990905,3.693693693693694,2.717913829807118
12.0,0.4004170470761892,31.417661946213258,5.00000000001819,3.9929929929929933,2.8258899810246696
13.0,0.40041704708528414,31.4176619469269,4.999999999972715,4.292292292292292,2.929889551408781
14.0,0.40041704708073667,31.417661946570092,4.99999999998181,4.591591591591592,3.030321993130932
15.0,0.4004170470716417,31.417661945856423,5.00000000005457,4.8908908908908915,3.1275309719732154
16.0,0.480500456496884,37.70119433588411,5.999999999967258,5.19019019019019,3.2218082778542825
17.0,0.4805004564832416,37.701194334813636,6.000000000040018,5.48948948948949,3.3134041675969765
18.0,0.480500456496884,37.70119433588411,5.999999999985448,5.788788788788789,3.4025351984142063
19.0,0.480500456496884,37.701194335884054,5.999999999949068,6.088088088088089,3.489390258346902
20.0,0.4805004565150739,37.70119433731122,6.000000000021828,6.387387387387388,3.574135276349355
21.0,0.48050045646959916,37.701194333743274,6.000000000058208,6.686686686686687,3.656916949049225
22.0,0.5605838659175788,43.98472672555488,6.999999999934516,6.9859859859859865,3.737865724025156
23.0,0.5605838658721041,43.98472672198682,7.0000000000800355,7.285285285285286,3.817098213229614
24.0,0.5605838659175788,43.98472672555488,6.999999999970896,7.584584584584585,3.89471916420671
25.0,0.5605838659539586,43.98472672840944,7.000000000043656,7.883883883883884,3.970823084278356
