tau,N_200
5.0,1368.0874143994845
5.666666666666667,1367.9618437796994
6.333333333333333,1367.8792664591867
7.0,1367.8165643596617
7.666666666666667,1367.7621276716502
8.333333333333334,1367.7100647553725
9.0,1367.6573694013439
9.666666666666666,1367.602503555003
10.333333333333334,1367.5446794754657
11.0,1367.4834937729909
11.666666666666666,1367.4187401988054
12.333333333333334,1367.3503137062226
13.0,1367.2781612396966
13.666666666666666,1367.2022564802883
14.333333333333334,1367.122586881933
15.0,1367.039147015878
