tau,N_128
0.25,30969.68322371304
0.5,30109.728431324453
0.75,29947.6719770072
1.0,29890.715661283073
1.25,29864.256828849968
1.5,29849.799430407016
1.75,29840.994528956748
2.0,29835.18765259048
2.25,29831.110109962683
2.5,29828.094041327415
2.75,29825.761560995066
3.0,29823.88672612446
3.25,29822.32841337599
3.5,29820.995153073138
3.75,29819.82556077094
4.0,29818.77693903837
4.25,29817.818435680027
4.5,29816.926877483715
4.75,29816.084229954296
5.0,29815.276056255712
5.25,29814.490581594182
5.5,29813.71811168333
5.75,29812.950648774015
6.0,29812.181613507975
6.25,29811.405623411254
6.5,29810.618304555705
6.75,29809.816126737423
7.0,29808.996258845258
7.25,29808.156443293345
7.5,29807.294888685836
7.75,29806.410179522783
8.0,29805.50120133761
8.25,29804.56707939634
8.5,29803.607129015803
8.75,29802.620815633756
9.0,29801.607722930956
9.25,29800.567527516705
9.5,29799.499978910906
9.75,29798.404883766823
10.0,29797.282093468548
