tau,N_32,N_200
5.25,2700.5998185290864,2702.813076584493
5.351010101010101,2700.4022891395634,2702.7013858943055
5.452020202020202,2700.20904276262,2702.5956050041154
5.553030303030303,2700.0196481120743,2702.4953021360234
5.654040404040404,2699.833713659866,2702.4000852651934
5.755050505050505,2699.6508834649135,2702.309597948648
5.856060606060606,2699.47083349084,2702.2235156429024
5.957070707070707,2699.2932683474814,2702.1415424453426
6.058080808080808,2699.1179184008056,2702.063408203965
6.159090909090909,2698.9445372040013,2701.9888659482663
6.26010101010101,2698.772899209358,2701.917689600879
6.361111111111111,2698.60279772626,2701.849671935305
6.462121212121212,2698.434043095516,2701.784622749945
6.563131313131313,2698.2664610542993,2701.722367232728
6.664141414141414,2698.099891269512,2701.6627444941364
6.765151515151516,2697.9341860202994,2701.6056062493694
6.866161616161616,2697.7692090129954,2701.5508156329274
6.967171717171717,2697.6048343139387,2701.4982461310574
7.068181818181818,2697.4409453874378,2701.44778061934
7.16919191919192,2697.2774342277507,2701.3993104943015
7.27020202020202,2697.114200575328,2701.352734889279
7.371212121212121,2696.951151208714,2701.3079599659677
7.472222222222222,2696.7881993045357,2701.2648982740566
7.5732323232323235,2696.625263858879,2701.2234681722707
7.674242424242424,2696.462269164098,2701.18359330487
7.775252525252525,2696.299144335768,2701.1452021283058
7.876262626262626,2696.1358228850618,2701.1082274833357
7.9772727272727275,2695.972242332308,2701.0726062083413
8.078282828282829,2695.8083438579433,2701.03827879007
8.179292929292929,2695.6440719874117,2701.005189048356
8.280303030303031,2695.4793743069204,2700.973283851735
8.381313131313131,2695.3142012072385,2700.942512861123
8.482323232323232,2695.148505652969,2700.9128282990137
8.583333333333334,2694.9822429749634,2700.8841847418425
8.684343434343434,2694.815370683736,2700.8565389333826
8.785353535353535,2694.6478483019173,2700.829849617215
8.886363636363637,2694.4796372139476,2700.804077386464
8.987373737373737,2694.3107005313623,2700.77918454915
9.08838383838384,2694.141002972133,2700.755135007626
9.18939393939394,2693.9705107526806,2700.7318941507074
9.29040404040404,2693.799191491267,2700.7094287571963
9.391414141414142,2693.6270141215778,2700.6877069096245
9.492424242424242,2693.4539488154223,2700.6666979171146
9.593434343434344,2693.279966913551,2700.6463722463777
9.694444444444445,2693.1050408636797,2700.6267014599325
9.795454545454545,2692.9291441649,2700.6076581607035
9.896464646464647,2692.7522513177164,2700.589215942264
9.997474747474747,2692.5743377790313,2700.5713493440253
10.098484848484848,2692.395379921464,2700.5540338107508
10.19949494949495,2692.215354996446,2700.5372456558584
10.30050505050505,2692.034241100595,2700.520962027993
10.401515151515152,2691.852017144937,2700.505160880435
10.502525252525253,2691.6686628265634,2700.4898209429557
10.603535353535353,2691.4841586024045,2700.474921695756
10.704545454545455,2691.2984856647854,2700.4604433452064
10.805555555555555,2691.1116259185237,2700.4463668011012
10.906565656565656,2690.9235619593223,2700.4326736552084
11.007575757575758,2690.7342770532696,2700.419346160913
11.108585858585858,2690.543755117273,2700.406367213786
11.20959595959596,2690.3519807002826,2700.3937203329315
11.31060606060606,2690.158938965185,2700.3813896429983
11.41161616161616,2689.9646156712665,2700.36935985675
11.512626262626263,2689.7689971571676,2700.3576162581126
11.613636363636363,2689.572070324254,2700.346144685632
11.714646464646465,2689.373822620358,2700.334931516302
11.815656565656566,2689.1742420238447,2700.3239636496924
11.916666666666666,2688.9733170279787,2700.3132284923854
12.017676767676768,2688.7710366255556,2700.3027139426576
12.118686868686869,2688.567390293795,2700.292408375427
12.219696969696969,2688.362367979477,2700.2823006274257
12.320707070707071,2688.1559600843184,2700.272379982621
12.421717171717171,2687.948157450589,2700.2626361578546
12.522727272727273,2687.7389513469657,2700.253059288729
12.623737373737374,2687.5283334546293,2700.243639915725
12.724747474747474,2687.316295853606,2700.234368970561
12.825757575757576,2687.1028310093666,2700.2252377628065
12.926767676767676,2686.8879317596816,2700.2162379667484
13.027777777777779,2686.6715913017397,2700.2073616085213
13.128787878787879,2686.4538031795423,2700.198601053504
13.22979797979798,2686.2345612715753,2700.1899489939988
13.330808080808081,2686.013859778763,2700.1813984371875
13.431818181818182,2685.791693212716,2700.1729426933794
13.532828282828282,2685.5680563842634,2700.164575364544
13.633838383838384,2685.342944392295,2700.156290333152
13.734848484848484,2685.1163526128917,2700.148081751305
13.835858585858587,2684.8882766887655,2700.139944030174
13.936868686868687,2684.658712519001,2700.1318718297325
14.037878787878787,2684.427656249096,2700.123860048802
14.13888888888889,2684.1951042613136,2700.115903815396
14.23989898989899,2683.961053165328,2700.107998477365
14.340909090909092,2683.725499789174,2700.100139593343
14.441919191919192,2683.488441170494,2700.0923229239897
14.542929292929292,2683.2498745480743,2700.08454442353
14.643939393939394,2683.009797353679,2700.0768002315804
14.744949494949495,2682.7682072041616,2700.069086665263
14.845959595959595,2682.5251018938625,2700.061400211601
14.946969696969697,2682.28047938728,2700.053737520189
15.047979797979798,2682.0343378120106,2700.046095396136
15.1489898989899,2681.7866754519564,2700.0384707932712
15.25,2681.5374907407845,2700.0308608076075
