tau,Energy
0.375,4.156199741595079
0.625,3.361606078222637
0.875,2.764597680130583
1.125,2.256611735456177
1.375,1.841905122290469
1.625,1.5134849225482552
1.875,1.255701241923532
2.125,1.0521762099679668
