tau,N_32,N_200
5.25,445.6179774549826,445.9846722643485
5.351010101010101,445.54896752081237,445.9298794288952
5.452020202020202,445.48298925873814,445.87838810510505
5.553030303030303,445.41980540340643,445.8299609495542
5.654040404040404,445.3591994652352,445.78438139261345
5.755050505050505,445.3009735497662,445.7414514577692
5.856060606060606,445.2449464407172,445.700989844648
5.957070707070707,445.1909519110607,445.66283024006947
6.058080808080808,445.1388372317702,445.62681982677
6.159090909090909,445.0884618523287,445.5928179638926
6.26010101010101,445.03969623083964,445.56069501708106
6.361111111111111,444.9924207947275,445.5303313191688
6.462121212121212,444.94652501568464,445.50161624511776
6.563131313131313,444.9019065847742,445.47444738711573
6.664141414141414,444.85847067551146,445.4487298176589
6.765151515151516,444.81612928438227,445.4243754300719
6.866161616161616,444.77480063964316,445.40130234731635
6.967171717171717,444.73440867044104,445.3794343911204
7.068181818181818,444.6948825293107,445.35870060449076
7.16919191919192,444.6561561619858,445.3390348215415
7.27020202020202,444.61816791921757,445.32037527933187
7.371212121212121,444.5808602059447,445.30266426706015
7.472222222222222,444.54417916373023,445.2858478085246
7.5732323232323235,444.5080743828647,445.2698753742547
7.674242424242424,444.4724986409696,445.2546996201426
7.775252525252525,444.4374076653,445.2402761497764
7.876262626262626,444.40275991627664,445.22656329800213
7.9772727272727275,444.3685163900552,445.2135219335264
8.078282828282829,444.3346404381968,445.20111527861775
8.179292929292929,444.30109760271404,445.18930874418544
8.280303030303031,444.2678554649666,445.1780697787076
8.381313131313131,444.2348835070435,445.1673677296453
8.482323232323232,444.2021529844219,445.1571737161324
8.583333333333334,444.1696368088206,445.1474605118605
8.684343434343434,444.1373094402854,445.1382024371941
8.785353535353535,444.10514678764423,445.12937525965475
8.886363636363637,444.0731261165611,445.12095610200276
8.987373737373737,444.0412259644992,445.11292335722794
9.08838383838384,444.00942606197384,445.10525660982773
9.18939393939394,443.97770725954103,445.0979365628207
9.29040404040404,443.9460514600212,445.09094496999256
9.391414141414142,443.91444155551073,445.08426457293115
9.492424242424242,443.88286136877605,445.07787904243963
9.593434343434344,443.851295598666,445.0717729239693
9.694444444444445,443.8197297692138,445.06593158673934
9.795454545454545,443.78815018213055,445.060341176247
9.896464646464647,443.7565438724221,445.05498856989976
9.997474747474747,443.72489856688304,445.0498613355245
10.098484848484848,443.6932026452488,445.0449476925324
10.19949494949495,443.66144510380377,445.0402364755391
10.30050505050505,443.6296155212616,445.0357171002563
10.401515151515152,443.5977040267516,445.03137953148826
10.502525252525253,443.56570126975913,445.02721425308107
10.603535353535353,443.53359839187993,445.0232122396857
10.704545454545455,443.5013870002625,445.0193649302068
10.805555555555555,443.4690591426209,445.01566420282296
10.906565656565656,443.4366072837105,445.012102351468
11.007575757575758,443.4040242831705,445.0086720636783
11.108585858585858,443.37130337463975,445.0053663997135
11.20959595959596,443.33843814606604,445.00217877286894
11.31060606060606,443.30542252112787,444.99910293090124
11.41161616161616,443.27225074170167,444.9961329384985
11.512626262626263,443.23891735130644,444.9932631607263
11.613636363636363,443.2054171794652,444.99048824739214
11.714646464646465,443.17174532692786,444.9878031182687
11.815656565656566,443.13789715170196,444.9852029491264
11.916666666666666,443.1038682558437,444.9826831585251
12.017676767676768,443.0696544729634,444.9802393953198
12.118686868686869,443.0352518564029,444.9778675268386
12.219696969696969,443.0006566680467,444.9755636276936
12.320707070707071,442.9658653677289,444.973323969188
12.421717171717171,442.930874603203,444.97114500928546
12.522727272727273,442.89568120064126,444.9690233831087
12.623737373737374,442.86028215563414,444.9669558939391
12.724747474747474,442.8246746246624,444.96493950468704
12.825757575757576,442.78885591701413,444.96297132980953
12.926767676767676,442.75282348712386,444.96104862764724
13.027777777777779,442.7165749273085,444.9591687931604
13.128787878787879,442.6801079608799,444.9573293510406
13.22979797979798,442.64342043561345,444.9555279491775
13.330808080808081,442.60651031755225,444.9537623524636
13.431818181818182,442.56937568513007,444.9520304369154
13.532828282828282,442.5320147235959,444.95033018409674
13.633838383838384,442.4944257197225,444.94865967582814
13.734848484848484,442.45660705678637,444.94701708916455
13.835858585858587,442.41855720980226,444.94540069162986
13.936868686868687,442.38027474100096,444.9438088366942
14.037878787878787,442.34175829553556,444.94223995947914
14.13888888888889,442.30300659740635,444.94069257268274
14.23989898989899,442.2640184455908,444.93916526270874
14.340909090909092,442.2247927103696,444.93765668599275
14.441919191919192,442.1853283298383,444.9361655655131
14.542929292929292,442.14562430659356,444.93469068747766
14.643939393939394,442.10567970458743,444.93323089817784
14.744949494949495,442.0654936461386,444.93178510099966
14.845959595959595,442.0250653090944,444.93035225358665
14.946969696969697,441.9843939241343,444.9289313651429
15.047979797979798,441.94347877220923,444.9275214938734
15.1489898989899,441.90231918210833,444.92612174455144
15.25,441.8591405542637,NaN
