tau,N_32
5.25,484.19504938225157
5.462765957446808,484.1599414375281
5.675531914893617,484.13131826452803
5.888297872340425,484.10807178334574
6.101063829787234,484.0892719128599
6.3138297872340425,484.0741423077716
6.526595744680851,484.062038366411
6.73936170212766,484.0524274726983
6.952127659574468,484.04487147601213
7.164893617021277,484.03901136814994
7.377659574468085,484.0345540532168
7.590425531914893,484.0312610533948
7.803191489361702,484.02893896024136
8.01595744680851,484.0274314269963
8.22872340425532,484.02661249818726
8.441489361702128,484.02638108380484
8.654255319148936,484.02665640225723
8.867021276595745,484.02737423602434
9.079787234042554,484.02848386420493
9.292553191489361,484.02994555560514
9.50531914893617,484.0317285238739
9.71808510638298,484.03380926208183
9.930851063829786,484.0361701879769
10.143617021276595,484.0387985430019
10.356382978723405,484.0416854981846
10.569148936170214,484.04482542841356
10.78191489361702,484.04821532360245
10.99468085106383,484.0518543110275
11.207446808510639,484.0557432678784
11.420212765957446,484.05988450697157
11.632978723404255,484.0642815217653
11.845744680851064,484.0689387794239
12.058510638297872,484.0738615528013
12.27127659574468,484.07905578394053
12.48404255319149,484.08452797309
12.696808510638299,484.0902850883774
12.909574468085106,484.096334492203
13.122340425531915,484.1026838811679
13.335106382978724,484.1093412369542
13.547872340425531,484.1163147860718
13.76063829787234,484.12361296677955
13.97340425531915,484.13124440181383
14.186170212765957,484.1392178758178
14.398936170212766,484.1475423165756
14.611702127659575,484.1562267793263
14.824468085106384,484.16528043357295
15.037234042553191,484.1747125519098
15.25,484.18453250048674
