tau,Energy
0.375,4.18867005207629
0.625,3.3878686257087507
0.875,2.7861960995066077
1.125,2.2742415146394217
1.375,1.8562950060583634
1.625,1.5253090235056534
1.875,1.265511407876091
2.125,1.0603963366083358
