tau,N_200
5.25,1368.0330421510894
5.462765957446808,1367.9941449814148
5.675531914893617,1367.9605334453954
5.888297872340425,1367.9310911646385
6.101063829787234,1367.9049258449306
6.3138297872340425,1367.881322834445
6.526595744680851,1367.8597087893233
6.73936170212766,1367.8396230930389
6.952127659574468,1367.8206952708542
7.164893617021277,1367.8026270718203
7.377659574468085,1367.7851782067728
7.590425531914893,1367.7681549649944
7.803191489361702,1367.7514011076416
8.01595744680851,1367.734790568712
8.22872340425532,1367.7182215956107
8.441489361702128,1367.701612039332
8.654255319148936,1367.68489556471
8.867021276595745,1367.668018598374
9.079787234042554,1367.6509378690876
9.292553191489361,1367.6336184243528
9.50531914893617,1367.616032030321
9.71808510638298,1367.598155880443
9.930851063829786,1367.5799715529674
10.143617021276595,1367.5614641691252
10.356382978723405,1367.542621713226
10.569148936170214,1367.5234344834398
10.78191489361702,1367.503894648082
10.99468085106383,1367.4839958870975
11.207446808510639,1367.4637331023587
11.420212765957446,1367.443102183554
11.632978723404255,1367.422099818985
11.845744680851064,1367.400723342657
12.058510638297872,1367.378970610687
12.27127659574468,1367.3568399014152
12.48404255319149,1367.3343298346624
12.696808510638299,1367.3114393064702
12.909574468085106,1367.2881674363477
13.122340425531915,1367.264513524631
13.335106382978724,1367.2404770180162
13.547872340425531,1367.2160574816971
13.76063829787234,1367.191254576844
13.97340425531915,1367.1660680423952
14.186170212765957,1367.1404976803449
14.398936170212766,1367.114543343842
14.611702127659575,1367.0882049275754
14.824468085106384,1367.0614823599997
15.037234042553191,1367.03437559705
15.25,0.0
