Temperature,N_2,N_4,N_8,N_0
4.0,0.9394921283569336,0.25461112466430663,0.08233223532104492,0.024811633209228516
2.6666666666666665,3.078646037017822,0.7881123563690186,0.20800142962646484,0.013956794219970703
2.0,7.201246633789062,1.84028144140625,0.4695856157226562,0.00992509228515625
1.6,13.873156764984131,3.570964652252197,0.904795703125,0.007753684997558594
1.3333333333333333,23.59426123828125,6.139049574462891,1.5548949931640625,0.00637977392578125
1.1428571428571428,36.78425595263672,9.69810608807373,2.4615156639404296,0.005428116760253906
1.0,53.774787,14.39495412109375,3.665930765625,0.0047262578125
0.8888888888888888,74.80548193908692,20.36846638586426,5.209059493652344,0.004185001647949218
0.8,100.0239382080078,27.748844104003908,7.1311419921875,0.003760205078125
0.7272727272727273,129.4883413371582,36.656694204345705,9.471848612670899,0.0034115589599609374
0.6666666666666666,163.1736690292969,47.2024895625,12.270120908203126,0.003123017578125
0.6153846153846154,200.9790055666504,59.486045463012694,15.56395282019043,0.0028779305419921876
0.5714285714285714,242.73789846728516,73.5959707109375,19.390548830078124,0.0026710263671875
0.5333333333333333,288.2273147918701,89.60947204284668,23.786470294189453,0.0024913970947265623
0.5,337.1802524375,107.59270821875,28.786566625,0.002332625
0.47058823529411764,389.2949436164551,127.59906070996094,34.425355263061526,0.002194664306640625
0.4444444444444444,444.24608005371095,149.67119008740235,40.7359169296875,0.0020589345703125
0.42105263157894735,501.6937217583008,173.84157939111327,47.75033742236328,0.001960822265625
0.4,561.2916827148438,200.1272318359375,55.49922412109375,0.0018572265625
0.38095238095238093,622.694832262207,228.53981339868164,64.01198688793946,0.0017506494140625
0.36363636363636365,685.568432194336,259.07623004785154,73.31771374511719,0.0016789931640625
0.34782608695652173,749.5840711877441,291.72591255810545,83.44213477636718,0.00159449072265625
0.3333333333333333,814.43556,326.46739190625,94.411490484375,0.001505671875
0.32,879.8340971374512,363.27152069091795,106.25245330810547,0.001458740234375
0.3076923076923077,945.5104939160157,402.09816651367186,118.98197887011719,0.001382697265625
0.2962962962962963,1011.2199190905761,442.9039713574219,132.626708015625,0.00133092333984375
0.2857142857142857,1076.7408027851563,485.636192453125,147.20619640234375,0.00121944921875
0.27586206896551724,1141.8692486472169,530.2324488876953,162.7357952976074,0.001212838623046875
0.26666666666666666,1206.4319461669922,576.6331548339843,179.23689118652345,0.0011564208984375
0.25806451612903225,1270.2727234631348,624.7637987294922,196.7210805739746,0.00105531689453125
0.25,1333.25306775,674.55450775,215.20824175,0.0009945
0.24242424242424243,1395.2591897739258,725.9263136586914,234.70254021972656,0.001013759033203125
0.23529411764705882,1456.1920764707031,778.7973484511718,255.22393668359376,0.0009220341796875
0.22857142857142856,1515.970800201416,833.0878189819335,276.77809943847654,0.00083919677734375
0.2222222222222222,1574.5259412421874,888.7106027109375,299.37208763671873,0.000849234375
0.21621621621621623,1631.8064132827149,945.5833105368653,323.016128215332,0.00076672021484375
0.21052631578947367,1687.771652461914,1003.6160827255859,347.7226766484375,0.00071212890625
0.20512820512820512,1742.3924936989747,1062.718554383789,373.4697659633789,0.0006936591796875
0.2,1795.6428515625,1122.81757734375,400.29774375,0.000603125
