tau,N_15
0.25,26.125227640439707
0.35050251256281406,20.81651011801333
0.4510050251256281,18.040082687480748
0.5515075376884422,16.395291078556255
0.6520100502512562,15.344693332581933
0.7525125628140703,14.63848590967507
0.8530150753768844,14.145546894829213
0.9535175879396985,13.79110768997958
1.0540201005025125,13.529930535679924
1.1545226130653266,13.333405502994767
1.2550251256281406,13.18280302024845
1.3555276381909547,13.06551293825235
1.4560301507537687,12.972841960010076
1.556532663316583,12.898672424646572
1.657035175879397,12.838619530134398
1.7575376884422111,12.789487817988418
1.8580402010050252,12.748912821844753
1.9585427135678393,12.715120190950714
2.059045226130653,12.686760955148623
2.159547738693467,12.662797072788894
2.2600502512562812,12.642420745336626
2.3605527638190953,12.624996756394035
2.4610552763819094,12.610020734022406
2.5615577889447234,12.597088572281661
2.6620603015075375,12.585873771720433
2.762562814070352,12.576110466469698
2.863065326633166,12.567580581178618
2.96356783919598,12.5601040195253
3.064070351758794,12.553531100881775
3.1645728643216082,12.547736680357776
3.2650753768844223,12.54261554092907
3.3655778894472363,12.538078755214748
3.4660804020100504,12.53405079244995
3.5665829145728645,12.530467202602095
3.6670854271356785,12.52727275074952
3.7675879396984926,12.524419905161803
3.8680904522613067,12.521867605040722
3.9685929648241207,12.519580250742871
4.069095477386934,12.51752687202893
4.169597989949748,12.515680439556629
4.2701005025125625,12.514017292238403
4.3706030150753765,12.512516658789906
4.471105527638191,12.511160256219371
4.571608040201005,12.509931951458473
4.672110552763819,12.508817475042003
4.772613065326633,12.507804177877913
4.873115577889447,12.506880823840806
4.973618090452261,12.506037412268755
5.074120603015075,12.505265025520577
5.174623115577889,12.504555697616174
5.275125628140704,12.50390230068047
5.375628140703518,12.503298446476808
5.476130653266332,12.502738400775055
5.576633165829146,12.502217008674592
5.67713567839196,12.501729629309223
5.777638190954774,12.5012720786132
5.878140703517588,12.5008405790355
5.978643216080402,12.500431715261367
6.0791457286432165,12.5000423951429
6.1796482412060305,12.499669815159317
6.280150753768845,12.499311429826681
6.380653266331659,12.498964924560193
